Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,Japanese,07:25,KidsPremium,"1,165₹",50,2
SaudiArabia,RiyadhFrontRiyadh,Japanese,09:55,KidsPremium,"1,165₹",50,2
Uae,MallOfTheEmirates,Japanese,10:15,StandardPremium,"1,042₹",48,4
SaudiArabia,RiyadhFrontRiyadh,Japanese,12:25,KidsPremium,"1,170₹",50,2
Uae,CityCentreAlZahia,Japanese,13:10,StandardPremium,"1,042₹",17,0
Uae,CityCentreAlZahia,Japanese,13:10,Standard,798₹,25,0
Uae,AlHamraMallRasAlKhaimah,Japanese,13:30,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,Japanese,13:30,StandardPremium,"1,044₹",34,0
Uae,CityCentreFujairah,Japanese,13:30,Standard,799₹,58,0
Uae,CityCentreFujairah,Japanese,13:30,StandardPremium,"1,044₹",40,0
Uae,MallOfTheEmirates,Japanese,13:45,StandardPremium,"1,042₹",48,4
Uae,TheGalleriaAlMaryahIsland,Japanese,13:45,StandardPremium,"1,107₹",26,0
Uae,TheGalleriaAlMaryahIsland,Japanese,13:45,Standard,868₹,14,0
Uae,YasMallAbuDhabi,Japanese,13:45,Standard,869₹,25,0
Uae,YasMallAbuDhabi,Japanese,13:45,StandardPremium,"1,108₹",18,0
SaudiArabia,RiyadhFrontRiyadh,Japanese,14:15,KidsPremium,"1,165₹",50,2
Uae,CityCentreMirdif,Japanese,15:00,StandardPremium,"1,041₹",20,0
Uae,CityCentreMirdif,Japanese,15:00,Standard,797₹,25,0
Bahrain,CityCentreBahrain,Japanese,16:00,Standard,827₹,113,5
SaudiArabia,RiyadhFrontRiyadh,Japanese,16:45,KidsPremium,"1,165₹",50,2
Uae,AlHamraMallRasAlKhaimah,Japanese,18:30,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,Japanese,18:30,StandardPremium,"1,044₹",34,0
Uae,CityCentreFujairah,Japanese,18:30,Standard,799₹,58,0
Uae,CityCentreFujairah,Japanese,18:30,StandardPremium,"1,044₹",40,0
Bahrain,CityCentreBahrain,Japanese,18:30,Standard,827₹,113,12
SaudiArabia,RiyadhFrontRiyadh,Japanese,19:15,KidsPremium,"1,165₹",50,2
SaudiArabia,RiyadhFrontRiyadh,Japanese,19:15,KidsPremium,"1,170₹",50,3
Bahrain,CityCentreBahrain,Japanese,21:00,Standard,827₹,113,0
