Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreShindagha,Tamil,07:45,Standard,796₹,100,1
Uae,CityCentreShindagha,Tamil,07:45,StandardPremium,"1,040₹",30,0
Uae,CityCentreSharjah,Tamil,08:15,Standard,796₹,45,0
Uae,CityCentreSharjah,Tamil,08:15,StandardPremium,"1,040₹",35,3
Uae,CityCentreDeira,Tamil,09:45,Standard,798₹,64,0
Uae,CityCentreDeira,Tamil,09:45,StandardPremium,"1,042₹",43,0
Uae,MegaplexCineplexGrandHyatt,Tamil,09:45,Standard,796₹,60,1
Uae,MegaplexCineplexGrandHyatt,Tamil,09:45,StandardPremium,"1,040₹",70,2
Uae,CityCentreDeira,Tamil,09:50,Standard,796₹,64,5
Uae,CityCentreDeira,Tamil,09:50,StandardPremium,"1,040₹",43,5
Uae,Burjuman,Tamil,10:45,Standard,796₹,41,20
Oman,SuharPlaza,Tamil,11:30,Standard,500₹,160,4
Uae,CityCentreShindagha,Tamil,12:00,Standard,796₹,67,8
Uae,CityCentreShindagha,Tamil,12:00,StandardPremium,"1,040₹",24,0
Uae,CityCentreDeira,Tamil,12:45,Standard,798₹,64,0
Uae,CityCentreDeira,Tamil,12:45,StandardPremium,"1,042₹",43,0
Uae,MegaplexCineplexGrandHyatt,Tamil,12:45,Standard,796₹,60,3
Uae,MegaplexCineplexGrandHyatt,Tamil,12:45,StandardPremium,"1,040₹",70,10
Uae,CityCentreDeira,Tamil,12:50,Standard,796₹,64,6
Uae,CityCentreDeira,Tamil,12:50,StandardPremium,"1,040₹",43,9
Oman,Ruwi,Tamil,13:00,Standard,629₹,27,0
Uae,CityCentreSharjah,Tamil,14:45,Standard,796₹,45,10
Uae,CityCentreSharjah,Tamil,14:45,StandardPremium,"1,040₹",35,8
Uae,CityCentreDeira,Tamil,15:45,Standard,798₹,64,0
Uae,CityCentreDeira,Tamil,15:45,StandardPremium,"1,042₹",43,0
Uae,MegaplexCineplexGrandHyatt,Tamil,15:45,Standard,796₹,60,12
Uae,MegaplexCineplexGrandHyatt,Tamil,15:45,StandardPremium,"1,040₹",70,3
Uae,CityCentreDeira,Tamil,16:15,Standard,796₹,84,15
Uae,CityCentreDeira,Tamil,16:15,StandardPremium,"1,040₹",51,2
Oman,SuharPlaza,Tamil,16:15,Standard,500₹,251,4
Uae,Burjuman,Tamil,16:30,Standard,796₹,41,8
Uae,CityCentreShindagha,Tamil,18:10,Standard,796₹,67,17
Uae,CityCentreShindagha,Tamil,18:10,StandardPremium,"1,040₹",24,0
Uae,CityCentreDeira,Tamil,18:45,Standard,796₹,64,0
Uae,CityCentreDeira,Tamil,18:45,StandardPremium,"1,040₹",43,0
Uae,MegaplexCineplexGrandHyatt,Tamil,18:45,Standard,796₹,60,1
Uae,MegaplexCineplexGrandHyatt,Tamil,18:45,StandardPremium,"1,040₹",70,0
Uae,CityCentreSharjah,Tamil,19:00,StandardPremium,910₹,46,2
Oman,Azaiba,Tamil,19:15,Standard,587₹,102,8
