Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Egypt,MallOfEgypt,English,12:45,GoldStandard,922₹,32,8
Egypt,CityCentreAlmaza,English,13:15,StandardPremium,503₹,47,18
Egypt,CityCentreAlmaza,English,13:15,Standard,461₹,52,3
Egypt,MallOfEgypt,English,13:15,Standard,461₹,112,0
Egypt,MallOfEgypt,English,13:15,StandardPremium,503₹,73,20
Egypt,MallOfEgypt,English,14:00,GoldStandard,922₹,32,10
Egypt,MallOfEgypt,English,14:30,Standard,461₹,95,5
Egypt,MallOfEgypt,English,14:30,StandardVip,503₹,91,16
Egypt,CityCentreAlmaza,English,15:00,GoldStandard,922₹,34,20
Egypt,CityCentreAlmaza,English,15:30,MaxPremium,545₹,46,32
Egypt,CityCentreAlmaza,English,15:30,MaxStandard,503₹,99,0
Egypt,MallOfEgypt,English,15:30,GoldStandard,922₹,32,8
Egypt,CityCentreAlmaza,English,16:00,StandardPremium,503₹,47,14
Egypt,CityCentreAlmaza,English,16:00,Standard,461₹,52,4
Egypt,MallOfEgypt,English,16:00,Standard,461₹,112,3
Egypt,MallOfEgypt,English,16:00,StandardPremium,503₹,73,23
Egypt,MallOfEgypt,English,16:45,GoldStandard,922₹,32,11
Egypt,MallOfEgypt,English,17:15,Standard,461₹,95,5
Egypt,MallOfEgypt,English,17:15,StandardVip,503₹,91,37
Egypt,CityCentreAlmaza,English,17:45,GoldStandard,922₹,34,30
Egypt,MallOfEgypt,English,18:15,GoldStandard,922₹,32,8
Egypt,CityCentreAlmaza,English,18:45,StandardPremium,503₹,47,41
Egypt,CityCentreAlmaza,English,18:45,Standard,461₹,52,24
Egypt,MallOfEgypt,English,18:45,Standard,461₹,112,4
Egypt,MallOfEgypt,English,18:45,StandardPremium,503₹,73,34
Egypt,MallOfEgypt,English,19:30,GoldStandard,922₹,32,8
Qatar,DohaOasis,English,19:45,VipStandard,"3,937₹",20,0
SaudiArabia,AtyafMallRiyadh,English,19:55,Standard,"1,196₹",30,4
SaudiArabia,AtyafMallRiyadh,English,19:55,StandardPremium,"1,414₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,20:00,Standard,"1,414₹",74,17
SaudiArabia,SaharaMallRiyadh,English,20:00,StandardPremium,"1,414₹",48,7
SaudiArabia,SaharaMallRiyadh,English,20:00,Standard,"1,196₹",48,3
SaudiArabia,TabukParkTabuk,English,20:00,Standard,"1,196₹",73,2
SaudiArabia,TabukParkTabuk,English,20:00,StandardPremium,"1,414₹",70,9
SaudiArabia,TheRoofRiyadh,English,20:00,StandardPremium,"1,414₹",30,9
SaudiArabia,TheRoofRiyadh,English,20:00,Standard,"1,196₹",19,0
SaudiArabia,WestAvenueMallDammam,English,20:00,StandardPremium,"1,414₹",84,6
SaudiArabia,WestAvenueMallDammam,English,20:00,Standard,"1,196₹",74,7
SaudiArabia,JubailGalleriaMallJubail,English,20:00,Standard,"1,414₹",85,10
Egypt,MallOfEgypt,English,20:00,Standard,461₹,95,3
Egypt,MallOfEgypt,English,20:00,StandardVip,503₹,91,22
Qatar,DohaFestivalCity,English,20:00,TheatreStandard,"3,937₹",23,16
Qatar,DohaFestivalCity,English,20:00,Standard,899₹,24,0
Qatar,DohaFestivalCity,English,20:00,StandardPremium,"1,124₹",34,15
Qatar,DohaOasis,English,20:00,CouchSingleSeaterPremium,"1,687₹",252,1
Qatar,DohaOasis,English,20:00,CouchSingleSeaterStandard,"1,462₹",124,0
Egypt,CityCentreAlmaza,English,20:30,GoldStandard,922₹,34,23
Egypt,CityCentreAlmaza,English,21:00,MaxPremium,545₹,46,24
Egypt,CityCentreAlmaza,English,21:00,MaxStandard,503₹,99,0
Egypt,MallOfEgypt,English,21:00,GoldStandard,922₹,32,8
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:15,Standard,"1,196₹",52,2
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:15,StandardPremium,"1,414₹",65,6
SaudiArabia,RedSeaMallJeddah,English,21:20,GoldStandard,"2,393₹",48,47
SaudiArabia,TheEsplanadeRiyadh,English,21:30,StandardPremium,"1,414₹",49,8
SaudiArabia,TheEsplanadeRiyadh,English,21:30,Standard,"1,196₹",44,4
Egypt,CityCentreAlmaza,English,21:30,StandardPremium,503₹,47,12
Egypt,CityCentreAlmaza,English,21:30,Standard,461₹,52,0
Egypt,MallOfEgypt,English,21:30,Standard,461₹,112,1
Egypt,MallOfEgypt,English,21:30,StandardPremium,503₹,73,14
SaudiArabia,JubailGalleriaMallJubail,English,22:00,Standard,"1,414₹",83,3
SaudiArabia,WestAvenueMallDammam,English,22:00,StandardPremium,"1,414₹",84,4
SaudiArabia,WestAvenueMallDammam,English,22:00,Standard,"1,196₹",74,0
SaudiArabia,RiyadhFrontRiyadh,English,22:15,GoldStandard,"3,264₹",12,6
SaudiArabia,AtyafMallRiyadh,English,22:20,Standard,"1,196₹",30,1
SaudiArabia,AtyafMallRiyadh,English,22:20,StandardPremium,"1,414₹",32,0
SaudiArabia,HailSquareHail,English,22:30,Standard,"1,196₹",91,0
SaudiArabia,HailSquareHail,English,22:30,StandardPremium,"1,414₹",91,0
SaudiArabia,RiyadhParkRiyadh,English,22:30,Standard,"1,414₹",74,10
SaudiArabia,SaharaMallRiyadh,English,22:30,StandardPremium,"1,414₹",48,0
SaudiArabia,SaharaMallRiyadh,English,22:30,Standard,"1,196₹",48,1
SaudiArabia,TheRoofRiyadh,English,22:30,StandardPremium,"1,414₹",30,10
SaudiArabia,TheRoofRiyadh,English,22:30,Standard,"1,196₹",19,0
SaudiArabia,RedSeaMallJeddah,English,22:35,StandardPremium,"1,414₹",92,39
SaudiArabia,RedSeaMallJeddah,English,22:35,Standard,"1,196₹",68,19
SaudiArabia,RedSeaMallJeddah,English,22:35,StandardWheelchairSpace,"1,196₹",3,0
Egypt,MallOfEgypt,English,22:45,Standard,461₹,95,7
Egypt,MallOfEgypt,English,22:45,StandardVip,503₹,91,22
SaudiArabia,RedSeaMallJeddah,English,22:55,GoldStandard,"2,393₹",48,22
SaudiArabia,RiyadhFrontRiyadh,English,23:00,StandardPremium,"1,414₹",65,8
SaudiArabia,RiyadhFrontRiyadh,English,23:00,Standard,"1,196₹",70,12
SaudiArabia,KingdomCentreRiyadh,English,23:00,VipStandard,"3,264₹",24,15
SaudiArabia,TownSquareJeddah,English,23:00,StandardPremium,"1,414₹",76,10
SaudiArabia,TownSquareJeddah,English,23:00,Standard,"1,196₹",75,5
SaudiArabia,RiyadhFrontRiyadh,English,23:30,GoldStandard,"3,264₹",32,5
