Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MegaplexCineplexGrandHyatt,English,08:05,4DxVirginRadioStandard,"1,711₹",68,1
Uae,YasMallAbuDhabi,English,08:25,Standard,869₹,60,3
Uae,YasMallAbuDhabi,English,08:25,StandardPremium,"1,108₹",71,6
Uae,MallOfTheEmirates,English,08:30,Standard,798₹,51,1
Uae,MallOfTheEmirates,English,08:30,StandardPremium,"1,042₹",58,6
Qatar,DohaFestivalCity,English,09:30,Standard,876₹,55,2
Qatar,DohaFestivalCity,English,09:30,StandardPremium,"1,095₹",57,7
Uae,CityCentreMirdif,English,09:30,4DxVirginRadioStandard,"1,711₹",124,16
Oman,CityCentreMuscat,English,09:45,4DxStandard,"1,851₹",60,7
Qatar,DohaFestivalCity,English,10:00,4DxStandard,"2,849₹",72,8
Qatar,DohaOasis,English,10:00,KidsPremium,"1,315₹",28,0
Qatar,DohaOasis,English,10:15,4DxStandard,"2,849₹",84,3
Uae,CityCentreFujairah,English,11:30,4DxVirginRadioStandard,"1,711₹",72,0
Uae,YasMallAbuDhabi,English,11:30,4DxVirginRadioStandard,"1,711₹",96,5
Lebanon,CityCentreBeirut,English,12:00,Standard,"4,494₹",40,9
Lebanon,CityCentreBeirut,English,12:00,StandardVip,"5,022₹",28,5
Qatar,DohaFestivalCity,English,12:40,Standard,875₹,24,11
Qatar,DohaFestivalCity,English,12:40,StandardPremium,"1,094₹",34,23
Oman,MallOfOman,English,12:45,StandardPremium,934₹,26,0
Oman,MallOfOman,English,12:45,Standard,762₹,21,0
Qatar,DohaFestivalCity,English,13:10,4DxStandard,"2,846₹",72,4
Oman,CityCentreMuscat,English,13:15,Standard,652₹,36,31
Uae,MallOfTheEmirates,English,14:00,Standard,797₹,51,2
Uae,MallOfTheEmirates,English,14:00,StandardPremium,"1,041₹",58,19
Uae,MegaplexCineplexGrandHyatt,English,14:00,4DxVirginRadioStandard,"1,709₹",68,7
Uae,CityCentreAjman,English,14:15,4DxVirginRadioStandard,"1,709₹",64,17
Qatar,DohaFestivalCity,English,15:50,Standard,875₹,24,15
Qatar,DohaFestivalCity,English,15:50,StandardPremium,"1,094₹",34,33
Lebanon,CityCentreBeirut,English,16:30,Standard,"4,494₹",40,4
Lebanon,CityCentreBeirut,English,16:30,StandardVip,"5,022₹",27,17
Uae,TheGalleriaAlMaryahIsland,English,17:15,StandardPremium,976₹,54,4
Uae,TheGalleriaAlMaryahIsland,English,17:15,StandardLounger,976₹,5,0
Uae,CityCentreDeira,English,17:30,4DxVirginRadioStandard,"1,709₹",124,9
Uae,CityCentreFujairah,English,17:30,4DxVirginRadioStandard,"1,709₹",72,0
Qatar,DohaFestivalCity,English,18:15,TheatreStandard,"3,832₹",23,11
Uae,AlJimiMall,English,18:15,KidsPremium,976₹,47,7
Qatar,DohaOasis,English,18:30,4DxStandard,"2,846₹",84,3
Kuwait,TheAvenuesKuwait,English,18:45,KidsStandard,902₹,49,1
Qatar,DohaFestivalCity,English,19:00,Standard,875₹,24,0
Qatar,DohaFestivalCity,English,19:00,StandardPremium,"1,094₹",34,29
Qatar,DohaOasis,English,20:00,KidsPremium,"1,313₹",28,0
SaudiArabia,AlQasrMallRiyadh,English,21:15,KidsPremium,"1,167₹",47,10
