Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,00:00,StandardPremium,"1,378₹",31,27
SaudiArabia,RiyadhFrontRiyadh,English,00:00,Standard,"1,166₹",16,9
SaudiArabia,HailSquareHail,English,00:15,Standard,"1,166₹",26,3
SaudiArabia,HailSquareHail,English,00:15,StandardPremium,"1,378₹",20,0
SaudiArabia,RiyadhParkRiyadh,English,00:30,StandardPremium,"1,378₹",34,6
SaudiArabia,RiyadhParkRiyadh,English,00:30,Standard,"1,166₹",41,6
SaudiArabia,RiyadhFrontRiyadh,English,02:00,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,02:00,Standard,"1,166₹",16,2
SaudiArabia,RiyadhFrontRiyadh,English,04:15,StandardPremium,"1,374₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,04:15,Standard,"1,162₹",16,2
Oman,CityCentreQurum,English,09:00,Standard,621₹,43,0
Oman,CityCentreQurum,English,09:00,StandardPremium,621₹,48,4
Oman,Mgm,English,09:00,StandardPremium,621₹,17,0
Oman,Mgm,English,09:00,Standard,621₹,32,0
Bahrain,CityCentreBahrain,English,09:15,Standard,822₹,110,5
SaudiArabia,RiyadhFrontRiyadh,English,10:00,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,10:00,Standard,"1,166₹",16,2
Uae,TheGalleriaAlMaryahIsland,English,10:10,StandardPremium,651₹,28,0
Uae,TheGalleriaAlMaryahIsland,English,10:10,Standard,651₹,16,0
SaudiArabia,AlQasrMallRiyadh,English,10:15,StandardPremium,"1,378₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,10:15,Standard,"1,166₹",22,0
Uae,CityCentreMirdif,English,10:15,StandardPremium,651₹,71,4
Uae,CityCentreMirdif,English,10:15,Standard,651₹,70,0
SaudiArabia,SaharaMallRiyadh,English,10:30,Standard,"1,166₹",32,0
SaudiArabia,SaharaMallRiyadh,English,10:30,StandardPremium,"1,378₹",38,0
Uae,MallOfTheEmirates,English,10:45,StandardPremium,651₹,48,4
Oman,Mgm,English,11:00,StandardPremium,621₹,17,0
Oman,Mgm,English,11:00,Standard,621₹,32,0
Oman,MallOfOman,English,11:10,StandardPremium,933₹,26,0
Oman,MallOfOman,English,11:10,Standard,762₹,19,0
Oman,CityCentreSuhar,English,11:10,Standard,621₹,50,0
Oman,CityCentreSuhar,English,11:10,StandardPremium,621₹,28,0
Bahrain,CityCentreBahrain,English,11:30,Standard,822₹,110,1
Qatar,DohaFestivalCity,English,11:50,Standard,656₹,18,0
Qatar,DohaFestivalCity,English,11:50,StandardPremium,656₹,25,0
SaudiArabia,AtyafMallRiyadh,English,12:15,Standard,"1,166₹",19,0
SaudiArabia,AtyafMallRiyadh,English,12:15,StandardPremium,"1,378₹",22,0
Uae,CityCentreMirdif,English,12:20,StandardPremium,651₹,71,4
Uae,CityCentreMirdif,English,12:20,Standard,651₹,70,0
Uae,TheGalleriaAlMaryahIsland,English,12:20,StandardPremium,651₹,28,0
Uae,TheGalleriaAlMaryahIsland,English,12:20,Standard,651₹,16,0
Uae,YasMallAbuDhabi,English,12:40,Standard,651₹,31,0
Uae,YasMallAbuDhabi,English,12:40,StandardPremium,651₹,49,4
Uae,AlHamraMallRasAlKhaimah,English,13:00,Standard,651₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,13:00,StandardPremium,651₹,31,0
Oman,CityCentreQurum,English,13:10,Standard,762₹,43,0
Oman,CityCentreQurum,English,13:10,StandardPremium,933₹,48,6
SaudiArabia,TabukParkTabuk,English,13:20,Standard,"1,166₹",24,1
SaudiArabia,TabukParkTabuk,English,13:20,StandardPremium,"1,378₹",24,0
Bahrain,CityCentreBahrain,English,13:45,Standard,824₹,110,18
SaudiArabia,RiyadhFrontRiyadh,English,14:00,StandardPremium,"1,378₹",31,6
SaudiArabia,RiyadhFrontRiyadh,English,14:00,Standard,"1,166₹",16,9
SaudiArabia,AlQasrMallRiyadh,English,14:30,StandardPremium,"1,378₹",32,4
SaudiArabia,AlQasrMallRiyadh,English,14:30,Standard,"1,166₹",22,0
Uae,TheGalleriaAlMaryahIsland,English,14:30,StandardPremium,"1,106₹",28,19
Uae,TheGalleriaAlMaryahIsland,English,14:30,Standard,868₹,16,3
Uae,YasMallAbuDhabi,English,14:55,Standard,868₹,31,4
Uae,YasMallAbuDhabi,English,14:55,StandardPremium,"1,106₹",49,13
Oman,MallOfOman,English,15:15,StandardPremium,933₹,26,6
Oman,MallOfOman,English,15:15,Standard,762₹,19,0
Qatar,DohaFestivalCity,English,15:55,Standard,875₹,18,4
Qatar,DohaFestivalCity,English,15:55,StandardPremium,"1,094₹",25,17
Bahrain,CityCentreBahrain,English,16:00,Standard,824₹,110,7
Oman,CityCentreSuhar,English,16:00,Standard,652₹,50,4
Oman,CityCentreSuhar,English,16:00,StandardPremium,762₹,28,0
SaudiArabia,AtyafMallRiyadh,English,16:15,Standard,"1,166₹",19,0
SaudiArabia,AtyafMallRiyadh,English,16:15,StandardPremium,"1,378₹",22,6
Oman,Mgm,English,16:20,StandardPremium,869₹,17,0
Oman,Mgm,English,16:20,Standard,762₹,32,1
SaudiArabia,HailSquareHail,English,16:30,Standard,"1,166₹",26,4
SaudiArabia,HailSquareHail,English,16:30,StandardPremium,"1,378₹",20,2
SaudiArabia,TownSquareJeddah,English,16:45,StandardPremium,"1,378₹",20,11
SaudiArabia,TownSquareJeddah,English,16:45,Standard,"1,166₹",26,13
Uae,CityCentreFujairah,English,16:45,Standard,797₹,37,6
Uae,CityCentreFujairah,English,16:45,StandardVip,"1,041₹",36,9
Uae,TheGalleriaAlMaryahIsland,English,16:45,StandardPremium,"1,106₹",28,16
Uae,TheGalleriaAlMaryahIsland,English,16:45,Standard,868₹,16,7
Uae,CityCentreMirdif,English,16:50,StandardPremium,"1,041₹",71,19
Uae,CityCentreMirdif,English,16:50,Standard,797₹,70,16
Uae,MallOfTheEmirates,English,17:15,StandardPremium,"1,041₹",48,27
Oman,CityCentreQurum,English,17:15,Standard,762₹,43,6
Oman,CityCentreQurum,English,17:15,StandardPremium,933₹,48,6
Oman,CityCentreMuscat,English,17:40,Standard,652₹,36,34
SaudiArabia,RiyadhFrontRiyadh,English,18:00,StandardPremium,"1,378₹",31,23
SaudiArabia,RiyadhFrontRiyadh,English,18:00,Standard,"1,166₹",16,6
