Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,01:30,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,01:30,Standard,"1,166₹",16,2
SaudiArabia,RiyadhFrontRiyadh,English,04:30,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,04:30,Standard,"1,166₹",16,2
Oman,MallOfOman,English,09:00,StandardPremium,933₹,26,0
Oman,MallOfOman,English,09:00,Standard,762₹,19,0
Kuwait,TheAvenuesKuwait,English,09:35,StandardPremiumFamily,"1,160₹",15,0
Kuwait,TheAvenuesKuwait,English,09:35,StandardStandardFamily,902₹,10,0
Kuwait,TheAvenuesKuwait,English,09:35,StandardPremiumBachelor,"1,160₹",12,2
Kuwait,TheAvenuesKuwait,English,09:35,StandardStandardBachelor,902₹,10,0
Qatar,DohaFestivalCity,English,09:45,Standard,656₹,18,0
Qatar,DohaFestivalCity,English,09:45,StandardPremium,656₹,25,0
Uae,AlHamraMallRasAlKhaimah,English,10:00,Standard,651₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,10:00,StandardPremium,651₹,34,0
Bahrain,CityCentreBahrain,English,10:30,Standard,822₹,109,2
SaudiArabia,AlQasrMallRiyadh,English,10:30,StandardPremium,"1,378₹",56,0
SaudiArabia,AlQasrMallRiyadh,English,10:30,Standard,"1,166₹",51,0
Uae,YasMallAbuDhabi,English,10:35,Standard,651₹,31,0
Uae,YasMallAbuDhabi,English,10:35,StandardPremium,651₹,49,4
SaudiArabia,RiyadhFrontRiyadh,English,10:45,StandardPremium,"1,378₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,10:45,Standard,"1,166₹",16,2
Oman,CityCentreQurum,English,11:00,Standard,621₹,43,0
Oman,CityCentreQurum,English,11:00,StandardPremium,621₹,48,4
Oman,CityCentreSuhar,English,12:40,Standard,621₹,56,0
Oman,CityCentreSuhar,English,12:40,StandardPremium,621₹,39,0
Uae,MallOfTheEmirates,English,12:50,StandardPremium,651₹,48,8
SaudiArabia,TabukParkTabuk,English,13:00,Standard,"1,166₹",21,0
SaudiArabia,TabukParkTabuk,English,13:00,StandardPremium,"1,378₹",29,1
Oman,MallOfOman,English,13:10,StandardPremium,933₹,26,4
Oman,MallOfOman,English,13:10,Standard,762₹,19,2
Oman,CityCentreMuscat,English,13:20,Standard,652₹,36,4
Kuwait,TheAvenuesKuwait,English,13:40,StandardPremiumFamily,"1,163₹",15,11
Kuwait,TheAvenuesKuwait,English,13:40,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,13:40,StandardPremiumBachelor,"1,163₹",12,5
Kuwait,TheAvenuesKuwait,English,13:40,StandardStandardBachelor,904₹,10,0
Qatar,DohaFestivalCity,English,13:50,Standard,875₹,18,0
Qatar,DohaFestivalCity,English,13:50,StandardPremium,"1,094₹",25,13
SaudiArabia,HailSquareHail,English,14:00,Standard,"1,166₹",26,1
SaudiArabia,HailSquareHail,English,14:00,StandardPremium,"1,378₹",20,0
Bahrain,CityCentreBahrain,English,14:30,Standard,824₹,109,23
SaudiArabia,AlQasrMallRiyadh,English,15:00,StandardPremium,"1,378₹",56,0
SaudiArabia,AlQasrMallRiyadh,English,15:00,Standard,"1,166₹",51,4
Oman,CityCentreQurum,English,15:10,Standard,762₹,43,0
Oman,CityCentreQurum,English,15:10,StandardPremium,933₹,48,4
Oman,CityCentreSuhar,English,17:00,Standard,652₹,56,6
Oman,CityCentreSuhar,English,17:00,StandardPremium,762₹,39,10
Uae,AlHamraMallRasAlKhaimah,English,17:00,Standard,797₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,17:00,StandardPremium,"1,041₹",34,20
SaudiArabia,TabukParkTabuk,English,17:10,Standard,"1,166₹",21,2
SaudiArabia,TabukParkTabuk,English,17:10,StandardPremium,"1,378₹",29,4
Oman,MallOfOman,English,17:15,StandardPremium,933₹,26,17
Oman,MallOfOman,English,17:15,Standard,762₹,19,9
Qatar,DohaFestivalCity,English,17:55,Standard,875₹,18,1
Qatar,DohaFestivalCity,English,17:55,StandardPremium,"1,094₹",25,18
SaudiArabia,HailSquareHail,English,18:00,Standard,424₹,26,0
SaudiArabia,HailSquareHail,English,18:00,StandardPremium,424₹,20,3
Bahrain,CityCentreBahrain,English,18:30,Standard,824₹,109,51
Uae,YasMallAbuDhabi,English,19:05,Standard,868₹,31,1
Uae,YasMallAbuDhabi,English,19:05,StandardPremium,"1,106₹",49,19
SaudiArabia,RiyadhFrontRiyadh,English,19:15,StandardPremium,"1,378₹",31,31
SaudiArabia,RiyadhFrontRiyadh,English,19:15,Standard,"1,166₹",16,16
Oman,CityCentreQurum,English,19:15,Standard,762₹,43,3
Oman,CityCentreQurum,English,19:15,StandardPremium,933₹,48,10
Uae,MallOfTheEmirates,English,19:20,StandardPremium,651₹,48,4
Qatar,DohaOasis,English,19:30,Standard,985₹,45,0
Oman,CityCentreMuscat,English,19:40,Standard,652₹,36,10
SaudiArabia,TabukParkTabuk,English,21:15,Standard,424₹,21,9
SaudiArabia,TabukParkTabuk,English,21:15,StandardPremium,424₹,29,26
SaudiArabia,RiyadhFrontRiyadh,English,23:30,StandardPremium,424₹,31,31
SaudiArabia,RiyadhFrontRiyadh,English,23:30,Standard,424₹,18,17
