Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TownSquareJeddah,English,06:45,KidsPremium,"1,195₹",41,0
SaudiArabia,TownSquareJeddah,English,06:45,KidsLounger,"1,195₹",6,0
SaudiArabia,RiyadhParkRiyadh,English,06:50,KidsPremium,"1,195₹",38,0
SaudiArabia,AlQasrMallRiyadh,English,07:00,KidsPremium,"1,195₹",47,1
SaudiArabia,RiyadhFrontRiyadh,English,07:30,KidsPremium,"1,195₹",50,2
Uae,CityCentreAlZahia,English,08:00,StandardPremium,"1,066₹",25,0
Uae,CityCentreAlZahia,English,08:00,Standard,816₹,31,4
Uae,MallOfTheEmirates,English,08:00,KidsPremium,933₹,47,23
Uae,AbuDhabiMallAbuDhabi,English,08:20,KidsPremium,"1,000₹",46,2
Uae,NakheelMall,English,08:25,StandardPremium,"1,066₹",33,4
Uae,AlJimiMall,English,08:30,KidsPremium,"1,000₹",47,4
Uae,CityCentreAlZahia,English,08:30,StandardPremium,"1,066₹",25,7
Uae,CityCentreAlZahia,English,08:30,Standard,816₹,31,2
Egypt,CityCentreAlmaza,English,08:45,KidsPremium,459₹,67,7
Bahrain,VoxCinemasTheAvenues,English,08:45,Standard,952₹,82,2
Bahrain,VoxCinemasTheAvenues,English,08:45,StandardPremium,"1,190₹",38,0
Uae,CityCentreAjman,English,08:45,KidsPremium,"1,022₹",44,19
Uae,YasMallAbuDhabi,English,08:45,Standard,889₹,40,11
Uae,YasMallAbuDhabi,English,08:45,StandardPremium,"1,133₹",49,14
SaudiArabia,RiyadhParkRiyadh,English,08:50,KidsPremium,"1,195₹",38,0
SaudiArabia,AlQasrMallRiyadh,English,09:00,KidsPremium,"1,195₹",47,1
SaudiArabia,TheRoofRiyadh,English,09:00,KidsPremium,"1,195₹",50,0
Uae,CityCentreMirdif,English,09:00,StandardPremium,"1,066₹",71,7
Uae,CityCentreMirdif,English,09:00,Standard,816₹,70,12
Kuwait,TheAvenuesKuwait,English,09:10,KidsStandard,921₹,49,1
Qatar,DohaFestivalCity,English,09:30,KidsPremium,"1,008₹",50,8
Qatar,DohaOasis,English,09:30,KidsPremium,"1,345₹",28,0
Uae,Mercato,English,09:40,Standard,816₹,61,3
Uae,Mercato,English,09:40,StandardPremium,"1,283₹",82,11
Bahrain,CityCentreBahrain,English,10:00,Standard,843₹,113,0
Qatar,DohaFestivalCity,English,10:00,Standard,896₹,61,0
Qatar,DohaFestivalCity,English,10:00,StandardPremium,"1,121₹",82,15
Uae,MallOfTheEmirates,English,10:00,KidsPremium,933₹,47,41
Uae,TheGalleriaAlMaryahIsland,English,10:10,KidsPremium,"1,000₹",54,9
Uae,TheGalleriaAlMaryahIsland,English,10:10,KidsLounger,"1,000₹",5,0
Egypt,MallOfEgypt,English,10:15,KidsPremium,459₹,31,12
SaudiArabia,RedSeaMallJeddah,English,10:25,StandardPremium,"1,412₹",92,0
SaudiArabia,RedSeaMallJeddah,English,10:25,Standard,"1,195₹",68,0
SaudiArabia,RedSeaMallJeddah,English,10:25,StandardWheelchairSpace,"1,195₹",3,0
SaudiArabia,RiyadhParkRiyadh,English,10:30,StandardPremium,"1,412₹",40,0
SaudiArabia,RiyadhParkRiyadh,English,10:30,Standard,"1,195₹",41,1
SaudiArabia,AtyafMallRiyadh,English,10:45,KidsVip,"1,195₹",50,0
SaudiArabia,AtyafMallRiyadh,English,10:45,KidsLounger,"1,195₹",6,0
SaudiArabia,AlQasrMallRiyadh,English,11:00,KidsPremium,"1,195₹",47,1
Uae,CityCentreMirdif,English,11:00,StandardPremium,"1,066₹",71,16
Uae,CityCentreMirdif,English,11:00,Standard,816₹,70,13
Uae,YasMallAbuDhabi,English,11:00,Standard,889₹,40,7
Uae,YasMallAbuDhabi,English,11:00,StandardPremium,"1,133₹",49,19
Uae,NationTowersAbuDhabi,English,11:20,StandardPremium,"1,378₹",29,5
Uae,NationTowersAbuDhabi,English,11:20,Standard,889₹,23,10
Qatar,DohaOasis,English,11:30,KidsPremium,"1,345₹",28,0
Uae,NakheelMall,English,11:30,KidsPremium,933₹,44,30
Uae,TheGalleriaAlMaryahIsland,English,11:35,StandardPremium,"1,133₹",26,10
Uae,TheGalleriaAlMaryahIsland,English,11:35,Standard,889₹,14,4
Bahrain,CityCentreBahrain,English,12:00,Standard,843₹,113,0
Oman,MallOfOman,English,12:00,StandardPremium,956₹,26,4
Oman,MallOfOman,English,12:00,Standard,780₹,21,0
SaudiArabia,JubailGalleriaMallJubail,English,12:00,KidsStandard,"1,195₹",45,2
SaudiArabia,JubailGalleriaMallJubail,English,12:00,KidsLounger,"1,195₹",4,0
SaudiArabia,SaharaMallRiyadh,English,12:00,KidsPremium,"1,195₹",51,0
SaudiArabia,SaharaMallRiyadh,English,12:00,KidsLounger,"1,195₹",5,0
Qatar,DohaFestivalCity,English,12:00,Standard,896₹,61,0
Qatar,DohaFestivalCity,English,12:00,StandardPremium,"1,121₹",82,10
Uae,AbuDhabiMallAbuDhabi,English,12:10,KidsPremium,"1,000₹",46,20
SaudiArabia,RiyadhFrontRiyadh,English,12:15,KidsPremium,"1,195₹",50,2
Uae,AlJimiMall,English,12:20,KidsPremium,"1,000₹",47,10
SaudiArabia,RiyadhParkRiyadh,English,12:30,StandardPremium,"1,412₹",40,0
SaudiArabia,RiyadhParkRiyadh,English,12:30,Standard,"1,195₹",41,1
SaudiArabia,RedSeaMallJeddah,English,12:35,StandardPremium,"1,412₹",92,0
SaudiArabia,RedSeaMallJeddah,English,12:35,Standard,"1,195₹",68,0
SaudiArabia,RedSeaMallJeddah,English,12:35,StandardWheelchairSpace,"1,195₹",3,0
Uae,CityCentreAlZahia,English,12:40,StandardPremium,"1,066₹",25,11
Uae,CityCentreAlZahia,English,12:40,Standard,816₹,31,3
Egypt,MallOfEgypt,English,12:45,KidsPremium,459₹,31,0
SaudiArabia,TheRoofRiyadh,English,12:45,KidsPremium,"1,195₹",50,0
SaudiArabia,AlQasrMallRiyadh,English,13:00,KidsPremium,"1,195₹",47,1
SaudiArabia,SaharaMallRiyadh,English,13:00,Standard,"1,195₹",56,1
SaudiArabia,SaharaMallRiyadh,English,13:00,StandardPremium,"1,412₹",52,3
SaudiArabia,TownSquareJeddah,English,13:00,KidsPremium,"1,195₹",41,0
SaudiArabia,TownSquareJeddah,English,13:00,KidsLounger,"1,195₹",6,0
Uae,CityCentreMirdif,English,13:00,StandardPremium,"1,066₹",71,4
Uae,CityCentreMirdif,English,13:00,Standard,816₹,70,6
Uae,YasMallAbuDhabi,English,13:10,Standard,889₹,40,2
Uae,YasMallAbuDhabi,English,13:10,StandardPremium,"1,133₹",49,7
Kuwait,TheAvenuesKuwait,English,13:20,KidsStandard,921₹,49,12
Uae,Mercato,English,13:20,Standard,816₹,50,4
Uae,Mercato,English,13:20,StandardPremium,"1,283₹",58,0
Qatar,DohaOasis,English,13:30,KidsPremium,"1,345₹",28,0
Uae,NationTowersAbuDhabi,English,13:30,StandardPremium,"1,378₹",29,0
Uae,NationTowersAbuDhabi,English,13:30,Standard,889₹,23,0
Bahrain,CityCentreBahrain,English,14:00,Standard,843₹,113,0
Bahrain,VoxCinemasTheAvenues,English,14:00,Standard,952₹,82,2
Bahrain,VoxCinemasTheAvenues,English,14:00,StandardPremium,"1,190₹",38,0
Oman,MallOfOman,English,14:00,StandardPremium,956₹,26,0
Oman,MallOfOman,English,14:00,Standard,780₹,21,0
Qatar,DohaFestivalCity,English,14:00,Standard,896₹,61,0
Qatar,DohaFestivalCity,English,14:00,StandardPremium,"1,121₹",82,10
Uae,TheGalleriaAlMaryahIsland,English,14:05,KidsPremium,"1,000₹",54,0
Uae,TheGalleriaAlMaryahIsland,English,14:05,KidsLounger,"1,000₹",5,0
SaudiArabia,JubailGalleriaMallJubail,English,14:20,Standard,"1,412₹",83,0
Uae,MallOfTheEmirates,English,14:20,KidsPremium,933₹,47,15
SaudiArabia,AtyafMallRiyadh,English,14:30,KidsVip,"1,195₹",50,0
SaudiArabia,AtyafMallRiyadh,English,14:30,KidsLounger,"1,195₹",6,0
SaudiArabia,RiyadhParkRiyadh,English,14:30,StandardPremium,"1,412₹",40,0
SaudiArabia,RiyadhParkRiyadh,English,14:30,Standard,"1,195₹",41,1
SaudiArabia,AlQasrMallRiyadh,English,15:00,KidsPremium,"1,195₹",47,1
SaudiArabia,RedSeaMallJeddah,English,15:00,StandardPremium,"1,412₹",92,0
SaudiArabia,RedSeaMallJeddah,English,15:00,Standard,"1,195₹",68,0
SaudiArabia,RedSeaMallJeddah,English,15:00,StandardWheelchairSpace,"1,195₹",3,0
SaudiArabia,TabukParkTabuk,English,15:00,KidsPremium,"1,195₹",47,0
SaudiArabia,TabukParkTabuk,English,15:00,KidsLounger,"1,195₹",5,0
Egypt,MallOfEgypt,English,15:15,KidsPremium,459₹,31,0
SaudiArabia,TheEsplanadeRiyadh,English,15:15,KidsPremium,"1,195₹",57,0
SaudiArabia,TheEsplanadeRiyadh,English,15:15,KidsLounger,"1,195₹",5,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,15:15,KidsStandard,"1,195₹",42,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,15:15,KidsLounger,"1,195₹",5,1
Uae,YasMallAbuDhabi,English,15:15,Standard,889₹,40,2
Uae,YasMallAbuDhabi,English,15:15,StandardPremium,"1,133₹",49,4
Qatar,DohaOasis,English,15:30,KidsPremium,"1,345₹",28,0
Uae,NakheelMall,English,15:30,KidsPremium,933₹,44,0
Egypt,CityCentreAlmaza,English,15:45,KidsPremium,459₹,67,5
SaudiArabia,JubailGalleriaMallJubail,English,15:50,KidsStandard,"1,195₹",45,0
SaudiArabia,JubailGalleriaMallJubail,English,15:50,KidsLounger,"1,195₹",4,0
Qatar,DohaFestivalCity,English,16:00,Standard,896₹,61,0
Qatar,DohaFestivalCity,English,16:00,StandardPremium,"1,121₹",82,10
Uae,AbuDhabiMallAbuDhabi,English,16:00,KidsPremium,"1,000₹",46,0
Uae,AlJimiMall,English,16:15,KidsPremium,"1,000₹",47,0
Uae,CityCentreAlZahia,English,16:15,KidsPremium,933₹,33,0
Uae,MallOfTheEmirates,English,16:20,KidsPremium,933₹,47,4
Uae,CityCentreAjman,English,16:25,KidsPremium,"1,022₹",44,0
SaudiArabia,TheRoofRiyadh,English,16:30,KidsPremium,"1,195₹",50,0
SaudiArabia,RedSeaMallJeddah,English,16:40,KidsStandard,"1,195₹",69,1
SaudiArabia,RiyadhFrontRiyadh,English,16:45,KidsPremium,"1,195₹",50,2
SaudiArabia,AlQasrMallRiyadh,English,17:00,KidsPremium,"1,195₹",47,1
SaudiArabia,TheEsplanadeRiyadh,English,17:15,KidsPremium,"1,195₹",57,0
SaudiArabia,TheEsplanadeRiyadh,English,17:15,KidsLounger,"1,195₹",5,0
Qatar,DohaOasis,English,17:30,KidsPremium,"1,345₹",28,0
Egypt,MallOfEgypt,English,17:45,KidsPremium,459₹,31,0
SaudiArabia,SaharaMallRiyadh,English,17:45,KidsPremium,"1,195₹",51,0
SaudiArabia,SaharaMallRiyadh,English,17:45,KidsLounger,"1,195₹",5,0
SaudiArabia,RiyadhParkRiyadh,English,18:00,KidsPremium,"1,195₹",38,0
SaudiArabia,AtyafMallRiyadh,English,18:15,KidsVip,"1,195₹",50,0
SaudiArabia,AtyafMallRiyadh,English,18:15,KidsLounger,"1,195₹",6,0
SaudiArabia,AlQasrMallRiyadh,English,19:00,KidsPremium,"1,195₹",47,1
SaudiArabia,JubailGalleriaMallJubail,English,19:30,KidsStandard,"1,195₹",45,0
SaudiArabia,JubailGalleriaMallJubail,English,19:30,KidsLounger,"1,195₹",4,0
Kuwait,TheAvenuesKuwait,English,19:35,KidsStandard,921₹,49,1
Egypt,MallOfEgypt,English,20:15,KidsPremium,459₹,31,0
