Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Lebanon,CityCentreBeirut,Lebanese,07:25,Standard,"2,628₹",134,1
Lebanon,CityCentreBeirut,Lebanese,07:25,StandardPremium,"2,628₹",161,2
Lebanon,CityCentreBeirut,Lebanese,09:40,Standard,"2,628₹",134,6
Lebanon,CityCentreBeirut,Lebanese,09:40,StandardPremium,"2,628₹",161,2
Lebanon,CityCentreBeirut,Lebanese,11:40,Standard,"2,628₹",134,3
Lebanon,CityCentreBeirut,Lebanese,11:40,StandardPremium,"2,628₹",161,7
Lebanon,CityCentreBeirut,Lebanese,13:15,GoldStandard,"6,833₹",30,4
Lebanon,CityCentreBeirut,Lebanese,13:40,Standard,"2,628₹",134,9
Lebanon,CityCentreBeirut,Lebanese,13:40,StandardPremium,"2,628₹",161,11
Lebanon,CityCentreBeirut,Lebanese,15:20,GoldStandard,"6,833₹",30,12
Lebanon,CityCentreBeirut,Lebanese,15:40,Standard,"2,628₹",134,33
Lebanon,CityCentreBeirut,Lebanese,15:40,StandardPremium,"2,628₹",161,21
Lebanon,CityCentreBeirut,Lebanese,17:30,GoldStandard,"6,833₹",30,27
Lebanon,CityCentreBeirut,Lebanese,17:40,Standard,"2,628₹",134,20
Lebanon,CityCentreBeirut,Lebanese,17:40,StandardPremium,"2,628₹",161,43
