Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,Arabic,00:15,StandardPremium,"1,403₹",32,0
SaudiArabia,RiyadhParkRiyadh,Arabic,00:15,Standard,"1,187₹",32,0
SaudiArabia,RedSeaMallJeddah,Arabic,04:25,StandardPremium,"1,403₹",66,0
SaudiArabia,RedSeaMallJeddah,Arabic,04:25,Standard,"1,187₹",60,0
SaudiArabia,RedSeaMallJeddah,Arabic,04:25,StandardWheelchairSpace,"1,187₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,05:00,StandardPremium,"1,403₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,05:00,Standard,"1,187₹",70,3
SaudiArabia,AlQasrMallRiyadh,Arabic,07:15,StandardPremium,"1,403₹",46,2
SaudiArabia,AlQasrMallRiyadh,Arabic,07:15,Standard,"1,187₹",44,0
SaudiArabia,TownSquareJeddah,Arabic,07:30,StandardPremium,"1,403₹",58,0
SaudiArabia,TownSquareJeddah,Arabic,07:30,Standard,"1,187₹",80,0
SaudiArabia,RedSeaMallJeddah,Arabic,07:45,StandardPremium,"1,403₹",92,2
SaudiArabia,RedSeaMallJeddah,Arabic,07:45,Standard,"1,187₹",68,0
SaudiArabia,RedSeaMallJeddah,Arabic,07:45,StandardWheelchairSpace,"1,187₹",3,0
SaudiArabia,RiyadhParkRiyadh,Arabic,08:15,StandardPremium,"1,403₹",32,0
SaudiArabia,RiyadhParkRiyadh,Arabic,08:15,Standard,"1,187₹",32,0
SaudiArabia,RedSeaMallJeddah,Arabic,09:25,StandardPremium,"1,410₹",66,1
SaudiArabia,RedSeaMallJeddah,Arabic,09:25,Standard,"1,193₹",60,0
SaudiArabia,RedSeaMallJeddah,Arabic,09:25,StandardWheelchairSpace,"1,193₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,10:00,StandardPremium,"1,410₹",65,2
SaudiArabia,RiyadhFrontRiyadh,Arabic,10:00,Standard,"1,193₹",70,3
SaudiArabia,TheRoofRiyadh,Arabic,10:00,StandardPremium,"1,410₹",52,2
SaudiArabia,TheRoofRiyadh,Arabic,10:00,Standard,"1,193₹",35,0
SaudiArabia,KingdomCentreRiyadh,Arabic,10:00,VipStandard,"3,253₹",30,3
SaudiArabia,AlQasrMallRiyadh,Arabic,12:00,StandardPremium,"1,410₹",46,2
SaudiArabia,AlQasrMallRiyadh,Arabic,12:00,Standard,"1,193₹",44,0
SaudiArabia,TownSquareJeddah,Arabic,12:30,StandardPremium,"1,414₹",58,0
SaudiArabia,TownSquareJeddah,Arabic,12:30,Standard,"1,196₹",80,0
SaudiArabia,RiyadhParkRiyadh,Arabic,12:45,StandardPremium,"1,414₹",32,2
SaudiArabia,RiyadhParkRiyadh,Arabic,12:45,Standard,"1,196₹",32,0
Egypt,CityCentreAlmaza,Arabic,13:00,StandardPremium,503₹,41,17
Egypt,CityCentreAlmaza,Arabic,13:00,Standard,461₹,29,0
Egypt,MallOfEgypt,Arabic,13:00,Standard,461₹,81,0
Egypt,MallOfEgypt,Arabic,13:00,StandardVip,503₹,31,4
SaudiArabia,RedSeaMallJeddah,Arabic,14:25,StandardPremium,"1,414₹",66,21
SaudiArabia,RedSeaMallJeddah,Arabic,14:25,Standard,"1,196₹",60,4
SaudiArabia,RedSeaMallJeddah,Arabic,14:25,StandardWheelchairSpace,"1,196₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,15:00,StandardPremium,"1,414₹",65,11
SaudiArabia,RiyadhFrontRiyadh,Arabic,15:00,Standard,"1,196₹",70,12
SaudiArabia,HailSquareHail,Arabic,15:00,Standard,"1,196₹",91,1
SaudiArabia,HailSquareHail,Arabic,15:00,StandardPremium,"1,414₹",91,3
SaudiArabia,KingdomCentreRiyadh,Arabic,15:00,VipStandard,"3,264₹",30,16
SaudiArabia,TheEsplanadeRiyadh,Arabic,15:45,StandardPremium,"1,414₹",89,6
SaudiArabia,TheEsplanadeRiyadh,Arabic,15:45,Standard,"1,196₹",66,4
Egypt,CityCentreAlmaza,Arabic,15:45,StandardPremium,503₹,41,26
Egypt,CityCentreAlmaza,Arabic,15:45,Standard,461₹,29,0
Egypt,MallOfEgypt,Arabic,15:45,Standard,461₹,81,6
Egypt,MallOfEgypt,Arabic,15:45,StandardVip,503₹,31,9
SaudiArabia,AlQasrMallRiyadh,Arabic,16:30,StandardPremium,"1,414₹",46,3
SaudiArabia,AlQasrMallRiyadh,Arabic,16:30,Standard,"1,196₹",44,4
SaudiArabia,RiyadhParkRiyadh,Arabic,17:15,StandardPremium,"1,414₹",32,26
SaudiArabia,RiyadhParkRiyadh,Arabic,17:15,Standard,"1,196₹",32,9
SaudiArabia,TownSquareJeddah,Arabic,17:30,StandardPremium,"1,414₹",58,12
SaudiArabia,TownSquareJeddah,Arabic,17:30,Standard,"1,196₹",80,3
Egypt,CityCentreAlmaza,Arabic,18:30,StandardPremium,503₹,41,26
Egypt,CityCentreAlmaza,Arabic,18:30,Standard,461₹,29,0
Egypt,MallOfEgypt,Arabic,18:30,Standard,461₹,81,0
Egypt,MallOfEgypt,Arabic,18:30,StandardVip,503₹,31,13
Uae,NationTowersAbuDhabi,Arabic,19:00,StandardPremium,"1,382₹",29,0
Uae,NationTowersAbuDhabi,Arabic,19:00,Standard,892₹,23,0
Kuwait,TheAvenuesKuwait,Arabic,19:15,Standard,"1,185₹",49,29
SaudiArabia,RedSeaMallJeddah,Arabic,19:25,StandardPremium,"1,414₹",66,46
SaudiArabia,RedSeaMallJeddah,Arabic,19:25,Standard,"1,196₹",60,10
SaudiArabia,RedSeaMallJeddah,Arabic,19:25,StandardWheelchairSpace,"1,196₹",3,0
SaudiArabia,AtyafMallRiyadh,Arabic,19:30,Standard,"1,196₹",27,3
SaudiArabia,AtyafMallRiyadh,Arabic,19:30,StandardPremium,"1,414₹",28,4
SaudiArabia,KingdomCentreRiyadh,Arabic,20:00,VipStandard,"3,264₹",30,27
SaudiArabia,TheRoofRiyadh,Arabic,20:20,StandardPremium,"1,403₹",52,0
SaudiArabia,TheRoofRiyadh,Arabic,20:20,Standard,"1,187₹",35,0
Kuwait,TheAvenuesKuwait,Arabic,20:35,Standard,"1,179₹",47,1
SaudiArabia,HailSquareHail,Arabic,20:45,Standard,"1,187₹",91,1
SaudiArabia,HailSquareHail,Arabic,20:45,StandardPremium,"1,403₹",91,0
SaudiArabia,AlQasrMallRiyadh,Arabic,21:00,StandardPremium,"1,403₹",46,2
SaudiArabia,AlQasrMallRiyadh,Arabic,21:00,Standard,"1,187₹",44,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,21:15,StandardPremium,"1,403₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,21:15,Standard,"1,187₹",70,3
Egypt,CityCentreAlmaza,Arabic,21:15,StandardPremium,503₹,41,7
Egypt,CityCentreAlmaza,Arabic,21:15,Standard,461₹,29,0
Egypt,MallOfEgypt,Arabic,21:15,Standard,461₹,81,0
Egypt,MallOfEgypt,Arabic,21:15,StandardVip,503₹,31,4
SaudiArabia,SaharaMallRiyadh,Arabic,21:45,Standard,"1,196₹",56,2
SaudiArabia,SaharaMallRiyadh,Arabic,21:45,StandardPremium,"1,414₹",52,13
SaudiArabia,RiyadhParkRiyadh,Arabic,22:00,StandardPremium,"1,414₹",32,2
SaudiArabia,RiyadhParkRiyadh,Arabic,22:00,Standard,"1,196₹",32,2
SaudiArabia,TownSquareJeddah,Arabic,22:30,StandardPremium,"1,414₹",58,6
SaudiArabia,TownSquareJeddah,Arabic,22:30,Standard,"1,196₹",80,3
