Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,Malayalam,08:30,StandardPremium,"1,380₹",18,0
SaudiArabia,AlQasrMallRiyadh,Malayalam,08:30,Standard,"1,168₹",18,2
Uae,CityCentreSharjah,Malayalam,09:45,Standard,798₹,73,0
Uae,CityCentreSharjah,Malayalam,09:45,StandardPremium,"1,043₹",52,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,Standard,798₹,96,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,StandardPremium,"1,043₹",104,0
Uae,Burjuman,Malayalam,11:25,Standard,798₹,38,2
Uae,CityCentreDeira,Malayalam,11:40,Standard,798₹,144,2
Uae,CityCentreDeira,Malayalam,11:40,StandardPremium,"1,043₹",113,0
Oman,Azaiba,Malayalam,12:35,Standard,590₹,97,2
Oman,Ruwi,Malayalam,12:45,Standard,631₹,27,0
Uae,CityCentreSharjah,Malayalam,12:50,Standard,799₹,73,2
Uae,CityCentreSharjah,Malayalam,12:50,StandardPremium,"1,044₹",52,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,13:00,Standard,799₹,96,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,13:00,StandardPremium,"1,044₹",104,0
Uae,CityCentreDeira,Malayalam,13:30,GoldStandard,"2,056₹",32,2
SaudiArabia,AlQasrMallRiyadh,Malayalam,14:30,StandardPremium,"1,382₹",18,7
SaudiArabia,AlQasrMallRiyadh,Malayalam,14:30,Standard,"1,169₹",18,0
Uae,CityCentreDeira,Malayalam,14:45,Standard,799₹,144,3
Uae,CityCentreDeira,Malayalam,14:45,StandardPremium,"1,044₹",113,0
Uae,CityCentreAlZahia,Malayalam,14:50,StandardPremium,"1,044₹",25,0
Uae,CityCentreAlZahia,Malayalam,14:50,Standard,799₹,40,0
Uae,CityCentreShindagha,Malayalam,15:10,Standard,799₹,100,0
Uae,CityCentreShindagha,Malayalam,15:10,StandardPremium,"1,044₹",30,4
Uae,CityCentreDeira,Malayalam,15:45,Standard,799₹,93,0
Uae,CityCentreDeira,Malayalam,15:45,StandardPremium,"1,044₹",88,0
Uae,CityCentreAjman,Malayalam,15:55,Standard,875₹,96,2
Uae,CityCentreAjman,Malayalam,15:55,StandardPremium,"1,131₹",60,0
Uae,CityCentreSharjah,Malayalam,15:55,Standard,799₹,73,0
Uae,CityCentreSharjah,Malayalam,15:55,StandardPremium,"1,044₹",52,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,16:05,Standard,797₹,96,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,16:05,StandardPremium,"1,041₹",104,0
Uae,Burjuman,Malayalam,17:35,Standard,799₹,38,2
Uae,CityCentreAlZahia,Malayalam,17:35,StandardPremium,913₹,33,1
Uae,CityCentreDeira,Malayalam,17:50,Standard,799₹,144,0
Uae,CityCentreDeira,Malayalam,17:50,StandardPremium,"1,044₹",113,0
Uae,CityCentreAjman,Malayalam,18:15,StandardPremium,"1,125₹",44,0
Oman,Azaiba,Malayalam,18:30,Standard,590₹,97,4
Uae,CityCentreDeira,Malayalam,18:50,Standard,799₹,93,15
Uae,CityCentreDeira,Malayalam,18:50,StandardPremium,"1,044₹",88,3
Uae,CityCentreSharjah,Malayalam,19:00,Standard,799₹,73,0
Uae,CityCentreSharjah,Malayalam,19:00,StandardPremium,"1,044₹",52,4
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:10,Standard,797₹,96,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:10,StandardPremium,"1,041₹",104,0
