Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:00,StandardPremium,"1,375₹",40,2
SaudiArabia,RiyadhParkRiyadh,English,00:00,Standard,"1,163₹",41,1
SaudiArabia,RedSeaMallJeddah,English,00:50,GoldStandard,"2,327₹",48,6
SaudiArabia,RiyadhFrontRiyadh,English,01:00,GoldStandard,"3,173₹",12,0
SaudiArabia,RiyadhFrontRiyadh,English,05:00,GoldStandard,"3,173₹",12,2
SaudiArabia,RedSeaMallJeddah,English,05:25,GoldStandard,"2,327₹",48,2
SaudiArabia,RedSeaMallJeddah,English,07:25,GoldStandard,"2,327₹",48,2
SaudiArabia,KingdomCentreRiyadh,English,07:30,VipStandard,"3,173₹",30,1
SaudiArabia,RedSeaMallJeddah,English,07:35,StandardPremium,"1,375₹",66,1
SaudiArabia,RedSeaMallJeddah,English,07:35,Standard,"1,163₹",60,0
SaudiArabia,RedSeaMallJeddah,English,07:35,StandardWheelchairSpace,"1,163₹",3,0
SaudiArabia,RiyadhFrontRiyadh,English,08:00,StandardPremium,"1,375₹",33,0
SaudiArabia,RiyadhFrontRiyadh,English,08:00,Standard,"1,163₹",40,2
Uae,CityCentreMirdif,English,08:00,StandardPremium,"1,038₹",87,12
Uae,CityCentreMirdif,English,08:00,Standard,795₹,75,3
Uae,MallOfTheEmirates,English,08:35,Standard,795₹,51,0
Uae,MallOfTheEmirates,English,08:35,StandardPremium,"1,038₹",58,5
SaudiArabia,AlQasrMallRiyadh,English,09:00,StandardPremium,"1,375₹",52,0
SaudiArabia,AlQasrMallRiyadh,English,09:00,Standard,"1,163₹",51,1
SaudiArabia,RedSeaMallJeddah,English,09:15,GoldStandard,"2,327₹",48,0
SaudiArabia,WestAvenueMallDammam,English,09:30,MaxPremium,"1,903₹",98,2
SaudiArabia,WestAvenueMallDammam,English,09:30,MaxStandard,"1,692₹",126,0
SaudiArabia,RiyadhParkRiyadh,English,09:40,StandardPremium,"1,375₹",40,0
SaudiArabia,RiyadhParkRiyadh,English,09:40,Standard,"1,163₹",41,1
SaudiArabia,AlQasrMallRiyadh,English,10:00,StandardPremium,"1,375₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,10:00,Standard,"1,163₹",22,1
SaudiArabia,TownSquareJeddah,English,10:00,StandardPremium,"1,375₹",76,5
SaudiArabia,TownSquareJeddah,English,10:00,Standard,"1,163₹",75,0
Kuwait,TheAvenuesKuwait,English,10:00,HubStandard,"2,578₹",60,2
Uae,TheGalleriaAlMaryahIsland,English,10:10,StandardPremium,"1,103₹",28,0
Uae,TheGalleriaAlMaryahIsland,English,10:10,Standard,865₹,16,0
Uae,YasMallAbuDhabi,English,10:25,Standard,865₹,60,3
