Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:00,StandardPremium,"1,412₹",40,0
SaudiArabia,RiyadhParkRiyadh,English,00:00,Standard,"1,195₹",41,1
Bahrain,CityCentreBahrain,English,12:30,Standard,845₹,110,8
SaudiArabia,AtyafMallRiyadh,English,12:30,Standard,"1,197₹",27,1
SaudiArabia,AtyafMallRiyadh,English,12:30,StandardPremium,"1,414₹",28,0
SaudiArabia,TheRoofRiyadh,English,12:45,StandardPremium,"1,414₹",30,1
SaudiArabia,TheRoofRiyadh,English,12:45,Standard,"1,197₹",19,0
SaudiArabia,TabukParkTabuk,English,13:15,Standard,"1,197₹",20,0
SaudiArabia,TabukParkTabuk,English,13:15,StandardPremium,"1,414₹",28,0
Oman,MallOfOman,English,13:15,StandardPremium,958₹,26,3
Oman,MallOfOman,English,13:15,Standard,782₹,21,2
SaudiArabia,RiyadhFrontRiyadh,English,13:45,StandardPremium,"1,414₹",18,1
SaudiArabia,RiyadhFrontRiyadh,English,13:45,Standard,"1,197₹",23,2
Oman,CityCentreQurum,English,14:00,Standard,782₹,42,3
Oman,CityCentreQurum,English,14:00,StandardPremium,958₹,53,4
Qatar,DohaFestivalCity,English,14:00,Standard,898₹,18,0
Qatar,DohaFestivalCity,English,14:00,StandardPremium,"1,123₹",25,0
Oman,SuharPlaza,English,14:15,Standard,514₹,160,4
Uae,YasMallAbuDhabi,English,14:45,Standard,891₹,28,0
Uae,YasMallAbuDhabi,English,14:45,StandardPremium,"1,136₹",40,5
Uae,AlHamraMallRasAlKhaimah,English,14:50,Standard,818₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,14:50,StandardPremium,"1,069₹",21,2
SaudiArabia,HailSquareHail,English,15:00,Standard,"1,197₹",91,0
SaudiArabia,HailSquareHail,English,15:00,StandardPremium,"1,414₹",91,0
SaudiArabia,TownSquareJeddah,English,15:00,StandardPremium,"1,414₹",20,5
SaudiArabia,TownSquareJeddah,English,15:00,Standard,"1,197₹",26,1
Oman,CityCentreSuhar,English,15:00,Standard,669₹,50,0
Oman,CityCentreSuhar,English,15:00,StandardPremium,782₹,28,4
SaudiArabia,AlQasrMallRiyadh,English,15:30,StandardPremium,"1,414₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,15:30,Standard,"1,197₹",22,0
SaudiArabia,SaharaMallRiyadh,English,15:30,Standard,"1,197₹",56,2
