Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,Telugu,07:30,StandardPremium,"1,410₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,07:30,Standard,"1,193₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,10:30,StandardPremium,"1,410₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,10:30,Standard,"1,193₹",32,0
SaudiArabia,AtyafMallRiyadh,Telugu,11:15,Standard,"1,193₹",27,0
SaudiArabia,AtyafMallRiyadh,Telugu,11:15,StandardPremium,"1,410₹",28,0
SaudiArabia,AlQasrMallRiyadh,Telugu,13:30,StandardPremium,"1,419₹",32,2
SaudiArabia,AlQasrMallRiyadh,Telugu,13:30,Standard,"1,201₹",32,0
SaudiArabia,AtyafMallRiyadh,Telugu,14:20,Standard,"1,201₹",19,0
SaudiArabia,AtyafMallRiyadh,Telugu,14:20,StandardPremium,"1,419₹",22,1
Uae,CityCentreShindagha,Telugu,15:00,Standard,939₹,93,1
Uae,CityCentreShindagha,Telugu,15:00,StandardPremium,"1,163₹",21,0
Uae,CityCentreShindagha,Telugu,15:00,StandardPreferredView,"1,230₹",10,0
Uae,MegaplexCineplexGrandHyatt,Telugu,15:10,Standard,939₹,60,0
Uae,MegaplexCineplexGrandHyatt,Telugu,15:10,StandardPremium,"1,163₹",48,0
Uae,MegaplexCineplexGrandHyatt,Telugu,15:10,StandardPreferredView,"1,230₹",22,0
Uae,CityCentreDeira,Telugu,15:55,Standard,939₹,125,2
Uae,CityCentreDeira,Telugu,15:55,StandardPremium,"1,163₹",48,3
Uae,CityCentreDeira,Telugu,15:55,StandardPreferredView,"1,230₹",36,1
Uae,CityCentreSharjah,Telugu,16:25,Standard,939₹,45,1
Uae,CityCentreSharjah,Telugu,16:25,StandardPremium,"1,163₹",20,2
Uae,CityCentreSharjah,Telugu,16:25,StandardPreferredView,"1,230₹",15,0
SaudiArabia,AlQasrMallRiyadh,Telugu,16:30,StandardPremium,"1,419₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,16:30,Standard,"1,201₹",32,3
Uae,Burjuman,Telugu,16:30,Standard,939₹,38,7
SaudiArabia,AtyafMallRiyadh,Telugu,17:30,Standard,"1,201₹",27,2
SaudiArabia,AtyafMallRiyadh,Telugu,17:30,StandardPremium,"1,419₹",28,3
Uae,CityCentreSharjah,Telugu,18:40,Standard,939₹,46,4
Uae,CityCentreDeira,Telugu,19:00,Standard,939₹,125,0
Uae,CityCentreDeira,Telugu,19:00,StandardPremium,"1,163₹",48,4
Uae,CityCentreDeira,Telugu,19:00,StandardPreferredView,"1,230₹",36,0
Oman,CityCentreSuhar,Telugu,19:00,Standard,576₹,50,0
Oman,CityCentreSuhar,Telugu,19:00,StandardPremium,576₹,28,5
Uae,CityCentreShindagha,Telugu,19:10,Standard,939₹,31,0
Uae,CityCentreShindagha,Telugu,19:10,StandardPremium,"1,163₹",14,0
Oman,SuharPlaza,Telugu,19:15,Standard,516₹,211,7
SaudiArabia,AlQasrMallRiyadh,Telugu,19:30,StandardPremium,"1,419₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,19:30,Standard,"1,201₹",32,0
Uae,Burjuman,Telugu,19:35,Standard,939₹,38,2
SaudiArabia,AtyafMallRiyadh,Telugu,20:40,Standard,"1,201₹",19,0
SaudiArabia,AtyafMallRiyadh,Telugu,20:40,StandardPremium,"1,419₹",22,0
SaudiArabia,AlQasrMallRiyadh,Telugu,22:30,StandardPremium,"1,419₹",32,0
SaudiArabia,AlQasrMallRiyadh,Telugu,22:30,Standard,"1,201₹",32,0
