Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:45,StandardPremium,"1,380₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,00:45,Standard,"1,168₹",32,2
SaudiArabia,RiyadhFrontRiyadh,English,01:00,GoldStandard,"3,180₹",12,0
SaudiArabia,RedSeaMallJeddah,English,05:00,GoldStandard,"2,336₹",48,0
SaudiArabia,RiyadhFrontRiyadh,English,06:15,StandardPremium,"1,380₹",65,0
SaudiArabia,RiyadhFrontRiyadh,English,06:15,Standard,"1,168₹",70,5
SaudiArabia,RiyadhFrontRiyadh,English,08:00,GoldStandard,"3,186₹",12,0
SaudiArabia,AlQasrMallRiyadh,English,08:15,StandardPremium,"1,380₹",57,0
SaudiArabia,AlQasrMallRiyadh,English,08:15,Standard,"1,168₹",56,0
SaudiArabia,RedSeaMallJeddah,English,08:15,StandardPremium,"1,380₹",66,6
SaudiArabia,RedSeaMallJeddah,English,08:15,Standard,"1,168₹",60,2
SaudiArabia,RedSeaMallJeddah,English,08:15,StandardWheelchairSpace,"1,168₹",3,0
Oman,CityCentreMuscat,English,08:25,Standard,653₹,36,0
Oman,MallOfOman,English,08:25,StandardPremium,935₹,26,5
Oman,MallOfOman,English,08:25,Standard,762₹,21,0
SaudiArabia,RiyadhParkRiyadh,English,09:00,StandardPremium,"1,380₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,09:00,Standard,"1,168₹",32,0
Oman,CityCentreSuhar,English,09:00,Standard,653₹,79,0
Oman,CityCentreSuhar,English,09:00,StandardPremium,762₹,61,0
Kuwait,TheAvenuesKuwait,English,09:25,StandardPremiumFamily,"1,163₹",15,0
Kuwait,TheAvenuesKuwait,English,09:25,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,09:25,StandardPremiumBachelor,"1,163₹",12,3
Kuwait,TheAvenuesKuwait,English,09:25,StandardStandardBachelor,904₹,10,2
SaudiArabia,SaharaMallRiyadh,English,10:00,Standard,"1,168₹",61,0
SaudiArabia,SaharaMallRiyadh,English,10:00,StandardPremium,"1,380₹",65,0
SaudiArabia,TownSquareJeddah,English,10:00,StandardPremium,"1,380₹",58,3
SaudiArabia,TownSquareJeddah,English,10:00,Standard,"1,168₹",80,1
SaudiArabia,JubailGalleriaMallJubail,English,10:15,Standard,"1,380₹",84,0
Uae,MallOfTheEmirates,English,10:15,Standard,798₹,35,0
Uae,MallOfTheEmirates,English,10:15,StandardPremium,"1,043₹",42,4
Qatar,DohaOasis,English,10:20,Standard,986₹,43,0
Uae,YasMallAbuDhabi,English,10:25,Standard,869₹,60,3
Uae,YasMallAbuDhabi,English,10:25,StandardPremium,"1,108₹",71,4
Uae,TheGalleriaAlMaryahIsland,English,10:30,StandardPremium,"1,108₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,10:30,Standard,869₹,20,0
Oman,CityCentreQurum,English,10:30,Standard,762₹,53,2
Oman,CityCentreQurum,English,10:30,StandardPremium,935₹,59,4
SaudiArabia,AlQasrMallRiyadh,English,10:45,StandardPremium,"1,380₹",57,0
SaudiArabia,AlQasrMallRiyadh,English,10:45,Standard,"1,168₹",56,2
Oman,Salalah,English,10:45,Standard,435₹,108,0
Oman,Salalah,English,10:45,StandardPremium,653₹,112,2
SaudiArabia,KingdomCentreRiyadh,English,11:00,VipStandard,"3,186₹",24,0
SaudiArabia,AtyafMallRiyadh,English,11:15,Standard,"1,162₹",30,0
SaudiArabia,AtyafMallRiyadh,English,11:15,StandardPremium,"1,374₹",30,0
SaudiArabia,RiyadhFrontRiyadh,English,11:15,StandardPremium,"1,380₹",65,0
SaudiArabia,RiyadhFrontRiyadh,English,11:15,Standard,"1,168₹",70,3
SaudiArabia,TheRoofRiyadh,English,11:15,StandardPremium,"1,380₹",52,0
SaudiArabia,TheRoofRiyadh,English,11:15,Standard,"1,168₹",35,0
Uae,CityCentreAlZahia,English,11:15,StandardPremium,"1,043₹",25,0
Uae,CityCentreAlZahia,English,11:15,Standard,798₹,31,0
Qatar,DohaFestivalCity,English,11:15,Standard,877₹,22,0
Qatar,DohaFestivalCity,English,11:15,StandardPremium,"1,096₹",37,5
Uae,AbuDhabiMallAbuDhabi,English,11:30,Standard,869₹,80,0
Uae,AbuDhabiMallAbuDhabi,English,11:30,StandardPremium,"1,108₹",36,0
Uae,WafiMallAtWafiCity,English,11:30,Standard,798₹,66,0
Uae,WafiMallAtWafiCity,English,11:30,StandardPremium,"1,043₹",83,0
Uae,NakheelMall,English,11:40,StandardPremium,"1,043₹",35,0
Uae,CityCentreDeira,English,11:45,Standard,798₹,35,0
Uae,CityCentreFujairah,English,11:45,Standard,798₹,38,0
Uae,CityCentreFujairah,English,11:45,StandardPremium,"1,043₹",36,0
Oman,SuharPlaza,English,11:45,Standard,501₹,196,0
Uae,NationTowersAbuDhabi,English,12:00,StandardPremium,"1,349₹",36,0
Uae,NationTowersAbuDhabi,English,12:00,Standard,870₹,36,0
Oman,Shatti,English,12:00,Standard,654₹,273,2
Oman,Panorama,English,12:05,Standard,654₹,104,2
Uae,AlHamraMallRasAlKhaimah,English,12:15,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,12:15,StandardPremium,"1,044₹",34,0
Oman,CityCentreSuhar,English,12:15,Standard,654₹,56,0
Oman,CityCentreSuhar,English,12:15,StandardPremium,764₹,41,0
Bahrain,VoxCinemasTheAvenues,English,12:30,StandardPremium,"1,166₹",32,0
Bahrain,VoxCinemasTheAvenues,English,12:30,Standard,932₹,96,2
SaudiArabia,SaharaMallRiyadh,English,12:30,Standard,"1,169₹",61,0
SaudiArabia,SaharaMallRiyadh,English,12:30,StandardPremium,"1,382₹",65,0
Uae,WafiMallAtWafiCity,English,12:30,TheatreStandard,"3,655₹",66,0
Oman,MallOfOman,English,12:50,StandardPremium,937₹,26,0
Oman,MallOfOman,English,12:50,Standard,764₹,21,2
Oman,CityCentreMuscat,English,12:55,Standard,654₹,36,1
SaudiArabia,TabukParkTabuk,English,13:00,Standard,"1,169₹",20,0
SaudiArabia,TabukParkTabuk,English,13:00,StandardPremium,"1,382₹",29,0
Uae,TheGalleriaAlMaryahIsland,English,13:00,StandardPremium,"1,109₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,13:00,Standard,870₹,20,0
SaudiArabia,AlQasrMallRiyadh,English,13:15,StandardPremium,"1,382₹",57,0
SaudiArabia,AlQasrMallRiyadh,English,13:15,Standard,"1,169₹",56,0
Uae,CityCentreMirdif,English,13:15,StandardPremium,"1,044₹",71,4
Uae,CityCentreMirdif,English,13:15,Standard,799₹,70,0
Uae,Mercato,English,13:15,Standard,799₹,61,0
Uae,Mercato,English,13:15,StandardPremium,"1,256₹",82,5
SaudiArabia,RiyadhParkRiyadh,English,13:30,StandardPremium,"1,382₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,13:30,Standard,"1,169₹",32,0
SaudiArabia,RiyadhFrontRiyadh,English,13:45,GoldStandard,"3,189₹",32,2
Uae,YasMallAbuDhabi,English,13:45,Standard,870₹,40,2
Uae,YasMallAbuDhabi,English,13:45,StandardPremium,"1,109₹",49,7
Oman,NizwaGrandMall,English,13:45,Standard,654₹,28,0
Oman,NizwaGrandMall,English,13:45,StandardPremium,764₹,30,0
Oman,NizwaGrandMall,English,13:55,Standard,652₹,28,0
Oman,NizwaGrandMall,English,13:55,StandardPremium,761₹,30,0
SaudiArabia,RedSeaMallJeddah,English,14:00,StandardPremium,"1,382₹",66,3
SaudiArabia,RedSeaMallJeddah,English,14:00,Standard,"1,169₹",60,0
SaudiArabia,RedSeaMallJeddah,English,14:00,StandardWheelchairSpace,"1,169₹",3,0
Uae,AlJimiMall,English,14:00,StandardVip,"1,109₹",46,0
Uae,AlJimiMall,English,14:00,Standard,870₹,41,4
Uae,WafiMallAtWafiCity,English,14:00,Standard,799₹,66,0
Uae,WafiMallAtWafiCity,English,14:00,StandardPremium,"1,044₹",83,0
Oman,MallOfOman,English,14:00,StandardPremium,937₹,26,4
Oman,MallOfOman,English,14:00,Standard,764₹,19,0
Kuwait,TheAvenuesKuwait,English,14:15,StandardPremiumFamily,"1,162₹",15,12
Kuwait,TheAvenuesKuwait,English,14:15,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,14:15,StandardPremiumBachelor,"1,162₹",12,4
Kuwait,TheAvenuesKuwait,English,14:15,StandardStandardBachelor,904₹,10,2
Bahrain,VoxCinemasTheAvenues,English,14:30,TheatreStandard,"2,798₹",32,0
Oman,Mgm,English,14:30,StandardPremium,872₹,38,0
Oman,Mgm,English,14:30,Standard,764₹,35,0
Uae,CityCentreAjman,English,14:40,Standard,875₹,46,0
Uae,CityCentreAjman,English,14:40,StandardPremium,"1,131₹",29,0
Uae,MallOfTheEmirates,English,14:50,Standard,799₹,35,0
