Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Oman,MallOfOman,English,08:00,StandardPremium,936₹,26,0
Oman,MallOfOman,English,08:00,Standard,764₹,19,0
Egypt,CityCentreAlmaza,English,08:30,StandardPremium,493₹,42,5
Uae,CityCentreMirdif,English,08:50,StandardPremium,"1,040₹",56,4
Uae,CityCentreMirdif,English,08:50,Standard,796₹,105,0
Uae,TheGalleriaAlMaryahIsland,English,09:10,StandardPremium,"1,105₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,09:10,Standard,867₹,20,0
Egypt,MallOfEgypt,English,09:15,Standard,452₹,41,2
Uae,CityCentreAlZahia,English,10:30,StandardPremium,"1,040₹",73,0
Uae,CityCentreAlZahia,English,10:30,Standard,796₹,79,0
Egypt,CityCentreAlmaza,English,11:00,StandardPremium,493₹,42,5
Uae,MallOfTheEmirates,English,11:45,StandardPremium,"1,040₹",48,4
Oman,MallOfOman,English,12:30,StandardPremium,936₹,26,0
Oman,MallOfOman,English,12:30,Standard,764₹,19,0
Uae,CityCentreMirdif,English,13:10,StandardPremium,"1,040₹",56,4
Uae,CityCentreMirdif,English,13:10,Standard,796₹,105,0
Egypt,CityCentreAlmaza,English,13:30,StandardPremium,493₹,42,5
Uae,TheGalleriaAlMaryahIsland,English,13:50,StandardPremium,"1,105₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,13:50,Standard,867₹,20,0
Egypt,MallOfEgypt,English,14:00,Standard,452₹,41,2
Uae,MallOfTheEmirates,English,14:00,StandardPremium,"1,040₹",48,4
Lebanon,CityCentreBeirut,English,14:30,Standard,"4,474₹",47,1
Uae,CityCentreAlZahia,English,14:30,StandardPremium,"1,040₹",25,0
Uae,CityCentreAlZahia,English,14:30,Standard,796₹,31,0
SaudiArabia,HailSquareHail,English,15:15,Standard,"1,165₹",26,1
SaudiArabia,HailSquareHail,English,15:15,StandardPremium,"1,377₹",20,0
Qatar,DohaOasis,English,15:15,Standard,998₹,45,0
Uae,NationTowersAbuDhabi,English,15:30,StandardPremium,"1,344₹",36,0
Uae,NationTowersAbuDhabi,English,15:30,Standard,867₹,36,0
Qatar,DohaFestivalCity,English,15:55,Standard,887₹,24,0
Qatar,DohaFestivalCity,English,15:55,StandardPremium,"1,109₹",31,3
Egypt,CityCentreAlmaza,English,16:00,StandardPremium,493₹,42,5
Uae,YasMallAbuDhabi,English,16:00,Standard,867₹,60,3
Uae,YasMallAbuDhabi,English,16:00,StandardPremium,"1,105₹",71,4
Uae,TheGalleriaAlMaryahIsland,English,16:10,StandardPremium,"1,105₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,16:10,Standard,867₹,20,0
Oman,MallOfOman,English,17:00,StandardPremium,936₹,26,0
Oman,MallOfOman,English,17:00,Standard,764₹,19,0
Uae,CityCentreAlZahia,English,17:20,StandardPremium,"1,040₹",73,0
Uae,CityCentreAlZahia,English,17:20,Standard,796₹,79,0
Qatar,DohaOasis,English,17:30,Standard,998₹,45,0
Uae,CityCentreMirdif,English,17:30,StandardPremium,"1,040₹",56,4
Uae,CityCentreMirdif,English,17:30,Standard,796₹,105,0
Egypt,CityCentreAlmaza,English,18:30,StandardPremium,493₹,42,5
Uae,MallOfTheEmirates,English,18:45,StandardPremium,"1,040₹",48,4
Uae,TheGalleriaAlMaryahIsland,English,18:45,StandardPremium,"1,105₹",28,0
Uae,TheGalleriaAlMaryahIsland,English,18:45,Standard,867₹,16,0
Uae,YasMallAbuDhabi,English,18:45,Standard,867₹,40,2
Uae,YasMallAbuDhabi,English,18:45,StandardPremium,"1,105₹",49,4
Oman,CityCentreMuscat,English,18:55,Standard,654₹,36,2
Egypt,MallOfEgypt,English,19:00,Standard,452₹,41,2
Uae,AlJimiMall,English,19:15,StandardPremium,"1,105₹",21,0
Uae,AlJimiMall,English,19:15,Standard,867₹,28,0
Uae,CityCentreAlZahia,English,19:30,StandardPremium,"1,040₹",17,0
Uae,CityCentreAlZahia,English,19:30,Standard,796₹,25,0
Uae,CityCentreDeira,English,19:30,Standard,796₹,64,0
Uae,CityCentreDeira,English,19:30,StandardPremium,"1,040₹",43,0
Qatar,DohaOasis,English,19:45,Standard,998₹,45,0
SaudiArabia,HailSquareHail,English,20:15,Standard,"1,165₹",26,1
SaudiArabia,HailSquareHail,English,20:15,StandardPremium,"1,377₹",20,0
Qatar,DohaFestivalCity,English,20:25,Standard,887₹,24,0
Qatar,DohaFestivalCity,English,20:25,StandardPremium,"1,109₹",31,3
SaudiArabia,RiyadhFrontRiyadh,English,21:00,KidsPremium,"1,165₹",50,2
Egypt,CityCentreAlmaza,English,21:00,StandardPremium,493₹,42,5
SaudiArabia,RiyadhFrontRiyadh,English,23:30,KidsPremium,"1,165₹",50,2
SaudiArabia,RedSeaMallJeddah,English,23:35,StandardPremium,"1,377₹",92,0
SaudiArabia,RedSeaMallJeddah,English,23:35,Standard,"1,165₹",68,0
SaudiArabia,RedSeaMallJeddah,English,23:35,StandardWheelchairSpace,"1,165₹",3,0
