Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,Korean,00:59,VipPremium,"1,696₹",48,0
SaudiArabia,RedSeaMallJeddah,Korean,00:59,VipWheelchairSpace,"1,696₹",2,2
SaudiArabia,RiyadhFrontRiyadh,Korean,01:00,StandardPremium,"1,382₹",24,6
SaudiArabia,RiyadhFrontRiyadh,Korean,01:00,Standard,"1,169₹",32,0
Qatar,DohaOasis,Korean,10:25,Standard,987₹,43,0
Qatar,DohaOasis,Korean,12:30,Standard,987₹,43,0
SaudiArabia,AtyafMallRiyadh,Korean,13:30,Vip,"1,701₹",30,0
Qatar,DohaOasis,Korean,14:35,Standard,987₹,43,0
Qatar,DohaFestivalCity,Korean,15:30,Standard,877₹,24,0
Qatar,DohaFestivalCity,Korean,15:30,StandardPremium,"1,097₹",34,3
SaudiArabia,HailSquareHail,Korean,16:00,Standard,"1,169₹",91,0
SaudiArabia,HailSquareHail,Korean,16:00,StandardPremium,"1,382₹",91,0
Qatar,DohaOasis,Korean,16:40,Standard,987₹,43,0
Qatar,DohaFestivalCity,Korean,17:35,Standard,877₹,24,0
Qatar,DohaFestivalCity,Korean,17:35,StandardPremium,"1,097₹",34,3
SaudiArabia,TabukParkTabuk,Korean,18:15,Standard,"1,169₹",21,0
SaudiArabia,TabukParkTabuk,Korean,18:15,StandardPremium,"1,382₹",29,3
SaudiArabia,AlQasrMallRiyadh,Korean,18:30,StandardPremium,"1,382₹",41,2
SaudiArabia,AlQasrMallRiyadh,Korean,18:30,Standard,"1,169₹",38,0
Qatar,DohaOasis,Korean,18:45,Standard,987₹,43,0
Qatar,DohaFestivalCity,Korean,19:45,Standard,877₹,24,0
Qatar,DohaFestivalCity,Korean,19:45,StandardPremium,"1,097₹",34,20
SaudiArabia,AlQasrMallRiyadh,Korean,20:30,StandardPremium,"1,382₹",41,1
SaudiArabia,AlQasrMallRiyadh,Korean,20:30,Standard,"1,169₹",38,6
SaudiArabia,AtyafMallRiyadh,Korean,20:45,Vip,"1,701₹",30,7
SaudiArabia,HailSquareHail,Korean,21:00,Standard,"1,169₹",91,0
SaudiArabia,HailSquareHail,Korean,21:00,StandardPremium,"1,382₹",91,0
SaudiArabia,AlQasrMallRiyadh,Korean,22:30,StandardPremium,"1,382₹",41,13
SaudiArabia,AlQasrMallRiyadh,Korean,22:30,Standard,"1,169₹",38,0
SaudiArabia,RiyadhFrontRiyadh,Korean,23:30,StandardPremium,"1,382₹",31,11
SaudiArabia,RiyadhFrontRiyadh,Korean,23:30,Standard,"1,169₹",40,6
