Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,English,04:10,KidsStandard,"1,165₹",69,1
SaudiArabia,RiyadhFrontRiyadh,English,08:00,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,08:00,Standard,"1,165₹",40,2
Uae,MallOfTheEmirates,English,08:30,KidsPremium,909₹,47,4
SaudiArabia,RiyadhParkRiyadh,English,08:30,KidsPremium,"1,165₹",38,19
SaudiArabia,TownSquareJeddah,English,08:30,KidsPremium,"1,165₹",41,4
SaudiArabia,TownSquareJeddah,English,08:30,KidsLounger,"1,165₹",6,0
Uae,MallOfTheEmirates,English,08:45,KidsPremium,910₹,47,4
Qatar,DohaFestivalCity,English,09:00,KidsPremium,984₹,48,0
Qatar,DohaOasis,English,09:00,KidsPremium,"1,312₹",19,0
SaudiArabia,AlQasrMallRiyadh,English,09:00,KidsPremium,"1,165₹",47,1
Kuwait,TheAvenuesKuwait,English,09:05,StandardPremiumFamily,"1,159₹",15,0
Kuwait,TheAvenuesKuwait,English,09:05,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,English,09:05,StandardPremiumBachelor,"1,159₹",12,1
Kuwait,TheAvenuesKuwait,English,09:05,StandardStandardBachelor,901₹,10,0
Kuwait,TheAvenuesKuwait,English,09:45,StandardPremiumFamily,"1,159₹",15,0
Kuwait,TheAvenuesKuwait,English,09:45,StandardStandardFamily,901₹,8,0
Kuwait,TheAvenuesKuwait,English,09:45,StandardPremiumBachelor,"1,159₹",16,1
Kuwait,TheAvenuesKuwait,English,09:45,StandardStandardBachelor,901₹,7,0
Uae,NakheelMall,English,09:45,KidsPremium,910₹,44,0
SaudiArabia,RiyadhFrontRiyadh,English,09:45,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,09:45,Standard,"1,165₹",16,2
Uae,CityCentreDeira,English,10:00,KidsPremium,910₹,37,0
Lebanon,CityCentreBeirut,English,10:05,Standard,"4,531₹",47,4
Uae,MallOfTheEmirates,English,10:30,KidsPremium,909₹,47,4
Uae,YasMallAbuDhabi,English,10:30,KidsPremium,975₹,40,0
SaudiArabia,JubailGalleriaMallJubail,English,10:30,Standard,"1,377₹",85,3
SaudiArabia,RiyadhFrontRiyadh,English,10:30,StandardPremium,"1,377₹",31,3
SaudiArabia,RiyadhFrontRiyadh,English,10:30,Standard,"1,165₹",40,9
SaudiArabia,AtyafMallRiyadh,English,10:40,KidsVip,"1,165₹",50,5
SaudiArabia,AtyafMallRiyadh,English,10:40,KidsLounger,"1,165₹",6,2
Oman,CityCentreSuhar,English,10:45,KidsVip,652₹,44,2
SaudiArabia,RedSeaMallJeddah,English,10:55,KidsStandard,"1,165₹",69,53
Kuwait,TheAvenuesKuwait,English,11:00,StandardPremiumFamily,"1,159₹",15,0
Kuwait,TheAvenuesKuwait,English,11:00,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,English,11:00,StandardPremiumBachelor,"1,159₹",12,1
Kuwait,TheAvenuesKuwait,English,11:00,StandardStandardBachelor,901₹,10,0
Oman,Mgm,English,11:00,KidsStandard,761₹,46,2
SaudiArabia,TheRoofRiyadh,English,11:15,KidsPremium,"1,165₹",50,0
SaudiArabia,TheEsplanadeRiyadh,English,11:30,KidsPremium,"1,165₹",57,25
SaudiArabia,TheEsplanadeRiyadh,English,11:30,KidsLounger,"1,165₹",5,0
Uae,CityCentreDeira,English,12:00,KidsPremium,910₹,37,0
Uae,CityCentreMirdif,English,12:05,StandardPremium,"1,044₹",29,7
Uae,CityCentreMirdif,English,12:05,Standard,799₹,25,0
SaudiArabia,JubailGalleriaMallJubail,English,12:15,KidsStandard,"1,170₹",45,0
SaudiArabia,JubailGalleriaMallJubail,English,12:15,KidsLounger,"1,170₹",4,0
SaudiArabia,WestAvenueMallDammam,English,12:15,KidsStandard,"1,170₹",39,14
Uae,MallOfTheEmirates,English,12:30,KidsPremium,909₹,47,4
Uae,YasMallAbuDhabi,English,12:30,KidsPremium,979₹,40,0
SaudiArabia,RiyadhParkRiyadh,English,12:45,KidsPremium,"1,170₹",38,21
Uae,MallOfTheEmirates,English,12:50,KidsPremium,914₹,47,15
Kuwait,TheAvenuesKuwait,English,12:55,StandardPremiumFamily,"1,163₹",15,7
Kuwait,TheAvenuesKuwait,English,12:55,StandardStandardFamily,905₹,10,2
Kuwait,TheAvenuesKuwait,English,12:55,StandardPremiumBachelor,"1,163₹",12,5
Kuwait,TheAvenuesKuwait,English,12:55,StandardStandardBachelor,905₹,10,0
Qatar,DohaFestivalCity,English,13:00,KidsPremium,988₹,48,3
Qatar,DohaOasis,English,13:00,KidsPremium,"1,317₹",19,0
Oman,Mgm,English,13:00,KidsStandard,764₹,46,8
SaudiArabia,AlQasrMallRiyadh,English,13:00,KidsPremium,"1,170₹",47,5
Uae,AbuDhabiMallAbuDhabi,English,13:15,KidsPremium,979₹,46,4
Uae,TheGalleriaAlMaryahIsland,English,13:15,KidsPremium,979₹,54,5
Uae,TheGalleriaAlMaryahIsland,English,13:15,KidsLounger,979₹,5,0
Uae,CityCentreAlZahia,English,13:30,StandardPremium,"1,044₹",25,3
Uae,CityCentreAlZahia,English,13:30,Standard,799₹,31,0
Bahrain,VoxCinemasTheAvenues,English,13:45,Standard,933₹,21,3
Bahrain,VoxCinemasTheAvenues,English,13:45,StandardPremium,"1,166₹",30,3
Uae,NakheelMall,English,13:45,KidsPremium,914₹,44,7
Uae,CityCentreDeira,English,14:00,KidsPremium,914₹,37,0
Uae,AlJimiMall,English,14:15,KidsPremium,979₹,47,6
SaudiArabia,SaharaMallRiyadh,English,14:15,KidsPremium,"1,170₹",51,48
SaudiArabia,SaharaMallRiyadh,English,14:15,KidsLounger,"1,170₹",5,0
Uae,AlHamraMallRasAlKhaimah,English,14:25,Standard,799₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,14:25,StandardPremium,"1,044₹",21,3
Uae,MallOfTheEmirates,English,14:30,KidsPremium,909₹,47,4
Uae,YasMallAbuDhabi,English,14:30,KidsPremium,979₹,40,0
SaudiArabia,AtyafMallRiyadh,English,14:30,KidsVip,"1,170₹",50,3
SaudiArabia,AtyafMallRiyadh,English,14:30,KidsLounger,"1,170₹",6,0
Oman,CityCentreSuhar,English,14:45,KidsVip,654₹,44,2
Oman,Mgm,English,15:00,KidsStandard,764₹,46,2
SaudiArabia,TabukParkTabuk,English,15:15,KidsPremium,"1,170₹",47,0
SaudiArabia,TabukParkTabuk,English,15:15,KidsLounger,"1,170₹",5,0
SaudiArabia,HailSquareHail,English,15:30,KidsLounger,"1,170₹",5,0
SaudiArabia,HailSquareHail,English,15:30,KidsPremium,"1,170₹",44,5
SaudiArabia,TheEsplanadeRiyadh,English,15:30,KidsPremium,"1,170₹",57,15
SaudiArabia,TheEsplanadeRiyadh,English,15:30,KidsLounger,"1,170₹",5,0
SaudiArabia,JubailGalleriaMallJubail,English,16:15,KidsStandard,"1,170₹",45,11
SaudiArabia,JubailGalleriaMallJubail,English,16:15,KidsLounger,"1,170₹",4,0
SaudiArabia,TownSquareJeddah,English,16:45,KidsPremium,"1,170₹",41,2
SaudiArabia,TownSquareJeddah,English,16:45,KidsLounger,"1,170₹",6,3
SaudiArabia,AlQasrMallRiyadh,English,17:00,KidsPremium,"1,170₹",47,13
SaudiArabia,RiyadhParkRiyadh,English,17:00,KidsPremium,"1,170₹",38,23
SaudiArabia,TheRoofRiyadh,English,17:15,KidsPremium,"1,170₹",50,37
SaudiArabia,TabukParkTabuk,English,17:30,KidsPremium,"1,170₹",43,0
SaudiArabia,TabukParkTabuk,English,17:30,KidsLounger,"1,170₹",5,0
SaudiArabia,TheEsplanadeRiyadh,English,19:30,KidsPremium,"1,170₹",57,5
SaudiArabia,TheEsplanadeRiyadh,English,19:30,KidsLounger,"1,170₹",5,0
SaudiArabia,HailSquareHail,English,19:35,KidsLounger,"1,170₹",5,0
SaudiArabia,HailSquareHail,English,19:35,KidsPremium,"1,170₹",44,4
SaudiArabia,RedSeaMallJeddah,English,20:00,KidsStandard,"1,170₹",69,28
SaudiArabia,TownSquareJeddah,English,20:45,KidsPremium,"1,170₹",41,0
SaudiArabia,TownSquareJeddah,English,20:45,KidsLounger,"1,170₹",6,0
