Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,Korean,01:15,StandardPremium,"1,375₹",34,4
SaudiArabia,RiyadhParkRiyadh,Korean,01:15,Standard,"1,163₹",41,0
SaudiArabia,AlQasrMallRiyadh,Korean,09:25,StandardPremium,"1,375₹",41,0
SaudiArabia,AlQasrMallRiyadh,Korean,09:25,Standard,"1,163₹",38,0
SaudiArabia,RiyadhFrontRiyadh,Korean,10:30,StandardPremium,"1,375₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Korean,10:30,Standard,"1,163₹",40,3
SaudiArabia,RiyadhParkRiyadh,Korean,13:00,StandardPremium,"1,369₹",34,2
SaudiArabia,RiyadhParkRiyadh,Korean,13:00,Standard,"1,158₹",41,2
Kuwait,TheAvenuesKuwait,Korean,15:20,StandardPremiumFamily,"1,157₹",15,4
Kuwait,TheAvenuesKuwait,Korean,15:20,StandardStandardFamily,900₹,10,0
Kuwait,TheAvenuesKuwait,Korean,15:20,StandardPremiumBachelor,"1,157₹",12,2
Kuwait,TheAvenuesKuwait,Korean,15:20,StandardStandardBachelor,900₹,10,0
SaudiArabia,AlQasrMallRiyadh,Korean,18:20,StandardPremium,"1,369₹",41,2
SaudiArabia,AlQasrMallRiyadh,Korean,18:20,Standard,"1,158₹",38,9
Uae,CityCentreAlZahia,Korean,19:15,StandardPremium,"1,044₹",25,0
Uae,CityCentreAlZahia,Korean,19:15,Standard,799₹,31,0
SaudiArabia,RiyadhParkRiyadh,Korean,21:15,StandardPremium,"1,369₹",34,0
SaudiArabia,RiyadhParkRiyadh,Korean,21:15,Standard,"1,158₹",41,0
Kuwait,TheAvenuesKuwait,Korean,21:55,StandardPremiumFamily,"1,157₹",15,6
Kuwait,TheAvenuesKuwait,Korean,21:55,StandardStandardFamily,900₹,10,0
Kuwait,TheAvenuesKuwait,Korean,21:55,StandardPremiumBachelor,"1,157₹",12,3
Kuwait,TheAvenuesKuwait,Korean,21:55,StandardStandardBachelor,900₹,10,0
SaudiArabia,AlQasrMallRiyadh,Korean,22:40,StandardPremium,"1,369₹",41,0
SaudiArabia,AlQasrMallRiyadh,Korean,22:40,Standard,"1,158₹",38,1
