Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Kuwait,TheAvenuesKuwait,English,08:55,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,English,08:55,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,English,08:55,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,English,08:55,StandardStandardBachelor,921₹,10,0
Kuwait,TheAvenuesKuwait,English,11:35,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,English,11:35,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,English,11:35,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,English,11:35,StandardStandardBachelor,921₹,10,0
SaudiArabia,RiyadhFrontRiyadh,English,12:15,StandardPremium,"1,414₹",33,0
SaudiArabia,RiyadhFrontRiyadh,English,12:15,Standard,"1,197₹",40,2
SaudiArabia,AtyafMallRiyadh,English,13:15,Standard,"1,197₹",19,0
SaudiArabia,AtyafMallRiyadh,English,13:15,StandardPremium,"1,414₹",22,0
Oman,MallOfOman,English,13:20,StandardPremium,958₹,26,0
Oman,MallOfOman,English,13:20,Standard,782₹,19,0
Qatar,DohaOasis,English,13:30,Standard,"1,011₹",43,0
SaudiArabia,AlQasrMallRiyadh,English,14:40,StandardPremium,"1,414₹",41,0
SaudiArabia,AlQasrMallRiyadh,English,14:40,Standard,"1,197₹",38,0
Bahrain,VoxCinemasTheAvenues,English,15:00,Standard,954₹,23,2
Bahrain,VoxCinemasTheAvenues,English,15:00,StandardPremium,"1,192₹",30,0
Qatar,DohaFestivalCity,English,16:00,Standard,898₹,18,0
Qatar,DohaFestivalCity,English,16:00,StandardPremium,"1,123₹",25,7
Uae,TheGalleriaAlMaryahIsland,English,16:05,StandardPremium,"1,136₹",25,2
Uae,TheGalleriaAlMaryahIsland,English,16:05,Standard,891₹,20,2
Uae,YasMallAbuDhabi,English,16:10,Standard,891₹,39,5
Uae,YasMallAbuDhabi,English,16:10,StandardPremium,"1,136₹",40,9
Oman,NizwaGrandMall,English,16:20,Standard,669₹,24,0
Oman,NizwaGrandMall,English,16:20,StandardPremium,782₹,20,6
Kuwait,TheAvenuesKuwait,English,16:40,StandardPremiumFamily,"1,188₹",15,8
Kuwait,TheAvenuesKuwait,English,16:40,StandardStandardFamily,924₹,10,0
Kuwait,TheAvenuesKuwait,English,16:40,StandardPremiumBachelor,"1,188₹",12,3
Kuwait,TheAvenuesKuwait,English,16:40,StandardStandardBachelor,924₹,10,0
Uae,WafiMallAtWafiCity,English,16:45,StandardPremium,"1,069₹",66,1
Uae,WafiMallAtWafiCity,English,16:45,Standard,818₹,50,0
Uae,CityCentreMirdif,English,17:10,StandardPremium,"1,069₹",38,3
SaudiArabia,HailSquareHail,English,17:45,Standard,"1,197₹",26,1
SaudiArabia,HailSquareHail,English,17:45,StandardPremium,"1,414₹",20,0
SaudiArabia,RiyadhFrontRiyadh,English,17:45,StandardPremium,"1,414₹",33,0
SaudiArabia,RiyadhFrontRiyadh,English,17:45,Standard,"1,197₹",40,2
SaudiArabia,AtyafMallRiyadh,English,18:00,Standard,"1,197₹",19,0
SaudiArabia,AtyafMallRiyadh,English,18:00,StandardPremium,"1,414₹",22,2
Oman,MallOfOman,English,18:40,StandardPremium,958₹,26,0
Oman,MallOfOman,English,18:40,Standard,782₹,19,0
Qatar,DohaOasis,English,18:45,Standard,"1,011₹",43,2
Oman,Mgm,English,19:00,StandardPremium,892₹,17,0
Oman,Mgm,English,19:00,Standard,782₹,32,2
Uae,MallOfTheEmirates,English,19:00,StandardPremium,"1,069₹",48,14
SaudiArabia,TabukParkTabuk,English,19:15,KidsPremium,"1,197₹",47,0
SaudiArabia,TabukParkTabuk,English,19:15,KidsLounger,"1,197₹",5,0
SaudiArabia,AlQasrMallRiyadh,English,19:25,StandardPremium,"1,414₹",41,0
SaudiArabia,AlQasrMallRiyadh,English,19:25,Standard,"1,197₹",38,0
Qatar,DohaFestivalCity,English,19:40,Standard,898₹,22,0
Qatar,DohaFestivalCity,English,19:40,StandardPremium,"1,123₹",28,6
Uae,CityCentreMirdif,English,19:45,StandardPremium,"1,069₹",38,2
Bahrain,VoxCinemasTheAvenues,English,20:45,Standard,954₹,41,0
Bahrain,VoxCinemasTheAvenues,English,20:45,StandardPremium,"1,192₹",25,0
Kuwait,TheAvenuesKuwait,English,21:45,StandardPremiumFamily,"1,188₹",15,0
Kuwait,TheAvenuesKuwait,English,21:45,StandardStandardFamily,924₹,10,0
Kuwait,TheAvenuesKuwait,English,21:45,StandardPremiumBachelor,"1,188₹",12,1
Kuwait,TheAvenuesKuwait,English,21:45,StandardStandardBachelor,924₹,10,0
SaudiArabia,HailSquareHail,English,23:00,Standard,"1,197₹",26,1
SaudiArabia,HailSquareHail,English,23:00,StandardPremium,"1,414₹",20,0
SaudiArabia,RiyadhFrontRiyadh,English,23:30,StandardPremium,"1,414₹",33,0
SaudiArabia,RiyadhFrontRiyadh,English,23:30,Standard,"1,197₹",40,2
