Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,English,01:30,ImaxPremium,"2,067₹",151,0
SaudiArabia,RedSeaMallJeddah,English,01:30,ImaxStandard,"1,850₹",106,2
SaudiArabia,RedSeaMallJeddah,English,01:30,ImaxLounger,"2,285₹",14,0
SaudiArabia,RiyadhFrontRiyadh,English,05:00,MaxPremium,"1,959₹",146,2
SaudiArabia,RiyadhFrontRiyadh,English,05:00,MaxStandard,"1,741₹",125,0
SaudiArabia,RiyadhFrontRiyadh,English,05:00,MaxLounger,"2,176₹",10,0
SaudiArabia,RedSeaMallJeddah,English,05:45,ImaxPremium,"2,067₹",151,0
SaudiArabia,RedSeaMallJeddah,English,05:45,ImaxStandard,"1,850₹",106,2
SaudiArabia,RedSeaMallJeddah,English,05:45,ImaxLounger,"2,285₹",14,0
SaudiArabia,RiyadhFrontRiyadh,English,07:20,StandardPremium,"1,410₹",24,1
SaudiArabia,RiyadhFrontRiyadh,English,07:20,Standard,"1,193₹",32,5
Bahrain,CityCentreBahrain,English,07:20,Standard,842₹,482,0
SaudiArabia,RedSeaMallJeddah,English,07:25,GoldStandard,"2,386₹",48,2
SaudiArabia,RiyadhParkRiyadh,English,07:30,ImaxStandard,"1,518₹",210,0
SaudiArabia,KingdomCentreRiyadh,English,08:00,VipStandard,"3,253₹",30,8
SaudiArabia,TownSquareJeddah,English,08:00,ImaxPremium,"2,060₹",138,0
SaudiArabia,TownSquareJeddah,English,08:00,ImaxStandard,"1,843₹",160,2
SaudiArabia,TownSquareJeddah,English,08:00,ImaxLounger,"2,277₹",13,0
SaudiArabia,WestAvenueMallDammam,English,08:00,MaxPremium,"1,955₹",98,0
SaudiArabia,WestAvenueMallDammam,English,08:00,MaxStandard,"1,738₹",126,0
SaudiArabia,TheRoofRiyadh,English,08:00,StandardPremium,"1,410₹",57,2
SaudiArabia,TheRoofRiyadh,English,08:00,Standard,"1,193₹",41,2
Uae,CityCentreMirdif,English,08:15,ImaxSapphirePremium,"1,776₹",128,4
Uae,MallOfTheEmirates,English,08:20,Standard,932₹,80,6
Uae,MallOfTheEmirates,English,08:20,StandardPremium,"1,154₹",68,3
Uae,MallOfTheEmirates,English,08:20,StandardPreferredView,"1,221₹",38,6
SaudiArabia,RiyadhFrontRiyadh,English,08:25,GoldStandard,"3,253₹",32,1
SaudiArabia,AlQasrMallRiyadh,English,08:30,StandardPremium,"1,410₹",57,1
SaudiArabia,AlQasrMallRiyadh,English,08:30,Standard,"1,193₹",56,0
Uae,NakheelMall,English,08:30,StandardPremium,"1,154₹",18,0
Uae,NakheelMall,English,08:30,StandardPreferredView,"1,221₹",15,4
Bahrain,CityCentreBahrain,English,08:30,ImaxStandard,"1,080₹",188,4
Bahrain,CityCentreBahrain,English,08:30,ImaxPremium,"1,318₹",183,2
Egypt,MallOfEgypt,English,09:00,Standard,456₹,95,3
Egypt,MallOfEgypt,English,09:00,StandardVip,497₹,91,34
Uae,CityCentreDeira,English,09:00,Standard,932₹,54,2
Uae,CityCentreDeira,English,09:00,StandardPremium,"1,154₹",26,2
Uae,CityCentreDeira,English,09:00,StandardPreferredView,"1,221₹",24,0
SaudiArabia,WestAvenueMallDammam,English,09:15,StandardPremium,"1,410₹",84,0
SaudiArabia,WestAvenueMallDammam,English,09:15,Standard,"1,193₹",74,1
Uae,MallOfTheEmirates,English,09:15,TheatreStandard,"3,729₹",36,21
Uae,WafiMallAtWafiCity,English,09:30,Standard,932₹,52,0
Uae,WafiMallAtWafiCity,English,09:30,StandardPremium,"1,154₹",55,2
Uae,WafiMallAtWafiCity,English,09:30,StandardPreferredView,"1,221₹",36,0
Kuwait,TheAvenuesKuwait,English,09:30,HubStandard,"3,162₹",60,10
Uae,Mercato,English,09:45,Standard,932₹,73,0
Uae,Mercato,English,09:45,StandardPremium,"1,332₹",101,3
Uae,CityCentreAlZahia,English,10:00,Couch2SeaterCouch,"2,331₹",70,2
Uae,YasMallAbuDhabi,English,10:00,Standard,"1,021₹",80,2
Uae,YasMallAbuDhabi,English,10:00,StandardPremium,"1,243₹",64,3
Uae,YasMallAbuDhabi,English,10:00,StandardPreferredView,"1,309₹",48,6
Bahrain,CityCentreBahrain,English,10:00,Standard,842₹,482,6
Uae,CityCentreAjman,English,10:10,Standard,"1,021₹",45,3
Uae,CityCentreAjman,English,10:10,StandardPremium,"1,243₹",18,4
Uae,CityCentreAjman,English,10:10,StandardPreferredView,"1,309₹",11,0
Uae,TheGalleriaAlMaryahIsland,English,10:10,StandardPremium,"1,243₹",18,0
Uae,TheGalleriaAlMaryahIsland,English,10:10,Standard,"1,021₹",16,3
Uae,TheGalleriaAlMaryahIsland,English,10:10,StandardPreferredView,"1,309₹",10,0
SaudiArabia,AlQasrMallRiyadh,English,10:20,StandardPremium,"1,410₹",41,3
SaudiArabia,AlQasrMallRiyadh,English,10:20,Standard,"1,193₹",38,1
Uae,CityCentreMirdif,English,10:30,TheatreStandard,"3,729₹",40,8
Bahrain,VoxCinemasTheAvenues,English,10:30,Standard,950₹,82,2
Bahrain,VoxCinemasTheAvenues,English,10:30,StandardPremium,"1,188₹",38,0
SaudiArabia,RiyadhFrontRiyadh,English,10:40,MaxPremium,"1,952₹",146,3
SaudiArabia,RiyadhFrontRiyadh,English,10:40,MaxStandard,"1,735₹",125,0
SaudiArabia,RiyadhFrontRiyadh,English,10:40,MaxLounger,"2,169₹",10,0
Uae,NakheelMall,English,10:45,MaxWithLaserPremium,"1,332₹",250,0
Uae,TheGalleriaAlMaryahIsland,English,10:45,TheatreStandard,"3,996₹",32,2
Uae,MallOfTheEmirates,English,10:50,ImaxStandard,"1,221₹",157,13
Uae,MallOfTheEmirates,English,10:50,ImaxPremium,"1,776₹",123,14
Uae,MallOfTheEmirates,English,10:50,ImaxBalcony,"2,442₹",64,2
Uae,MallOfTheEmirates,English,10:50,ImaxLounger,"1,165₹",12,0
Uae,TheGalleriaAlMaryahIsland,English,10:50,ImaxPremium,"1,942₹",238,1
Uae,TheGalleriaAlMaryahIsland,English,10:50,ImaxStandard,"1,332₹",144,0
Uae,TheGalleriaAlMaryahIsland,English,10:50,ImaxLounger,"1,110₹",19,0
SaudiArabia,KingdomCentreRiyadh,English,11:00,VipStandard,"3,253₹",30,10
Uae,NakheelMall,English,11:00,TheatreStandard,"3,729₹",16,1
SaudiArabia,TheEsplanadeRiyadh,English,11:15,MaxPremium,"1,952₹",142,3
SaudiArabia,TheEsplanadeRiyadh,English,11:15,MaxStandard,"1,735₹",125,0
SaudiArabia,TheEsplanadeRiyadh,English,11:15,MaxLounger,"2,169₹",6,0
Uae,YasMallAbuDhabi,English,11:15,TheatreStandard,"3,996₹",36,4
Lebanon,CityCentreBeirut,English,11:15,ImaxStandard,"8,088₹",233,4
Lebanon,CityCentreBeirut,English,11:15,ImaxPremium,"8,627₹",230,5
Lebanon,CityCentreBeirut,English,11:25,GoldStandard,"7,009₹",30,1
Uae,CityCentreMirdif,English,11:30,StandardPremium,"1,154₹",30,7
Uae,CityCentreMirdif,English,11:30,Standard,932₹,104,6
Uae,CityCentreMirdif,English,11:30,StandardPreferredView,"1,221₹",18,10
Uae,AlJimiMall,English,11:30,TheatreStandard,"3,996₹",24,0
Bahrain,CityCentreBahrain,English,11:30,ImaxStandard,"1,080₹",188,1
Bahrain,CityCentreBahrain,English,11:30,ImaxPremium,"1,318₹",183,13
Uae,CityCentreAlZahia,English,11:40,GoldStandard,"1,504₹",38,13
SaudiArabia,RedSeaMallJeddah,English,11:45,ImaxPremium,"2,060₹",151,9
SaudiArabia,RedSeaMallJeddah,English,11:45,ImaxStandard,"1,843₹",106,6
SaudiArabia,RedSeaMallJeddah,English,11:45,ImaxLounger,"2,277₹",14,0
Uae,CityCentreDeira,English,11:50,Standard,932₹,54,6
Uae,CityCentreDeira,English,11:50,StandardPremium,"1,154₹",26,0
Uae,CityCentreDeira,English,11:50,StandardPreferredView,"1,221₹",24,0
Egypt,MallOfEgypt,English,12:00,Standard,456₹,95,5
Egypt,MallOfEgypt,English,12:00,StandardVip,497₹,91,45
Kuwait,TheAvenuesKuwait,English,12:05,StandardPremiumFamily,"1,193₹",54,14
Kuwait,TheAvenuesKuwait,English,12:05,StandardPremiumBachelor,"1,193₹",54,7
Kuwait,TheAvenuesKuwait,English,12:05,StandardStandardFamily,"1,060₹",44,2
Kuwait,TheAvenuesKuwait,English,12:05,StandardStandardBachelor,"1,060₹",49,0
Uae,AlHamraMallRasAlKhaimah,English,12:15,Standard,939₹,61,1
Uae,AlHamraMallRasAlKhaimah,English,12:15,StandardPremium,"1,163₹",31,0
Uae,AlHamraMallRasAlKhaimah,English,12:15,StandardPreferredView,"1,230₹",9,0
Uae,NationTowersAbuDhabi,English,12:30,StandardPremium,"1,453₹",60,2
Uae,NationTowersAbuDhabi,English,12:30,Standard,"1,028₹",64,0
Uae,WafiMallAtWafiCity,English,12:30,SamsungOnyxPremium,"3,757₹",56,5
Uae,YasMallAbuDhabi,English,12:30,TheatreStandard,"4,025₹",36,8
Uae,CityCentreDeira,English,12:45,GoldStandard,"2,113₹",32,7
Uae,CityCentreMirdif,English,12:45,TheatreStandard,"3,757₹",40,5
Uae,Mercato,English,12:45,Standard,939₹,73,2
Uae,Mercato,English,12:45,StandardPremium,"1,341₹",101,6
Uae,TheGalleriaAlMaryahIsland,English,12:45,TheatreStandard,"4,025₹",32,4
