Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,00:15,GoldStandard,"3,264₹",12,0
SaudiArabia,TheRoofRiyadh,English,00:45,VipPremium,"1,740₹",48,0
SaudiArabia,RedSeaMallJeddah,English,00:55,StandardPremium,"1,414₹",92,1
SaudiArabia,RedSeaMallJeddah,English,00:55,Standard,"1,196₹",68,2
SaudiArabia,RedSeaMallJeddah,English,00:55,StandardWheelchairSpace,"1,196₹",3,0
Bahrain,CityCentreBahrain,English,07:30,Standard,845₹,302,5
Uae,AbuDhabiMallAbuDhabi,English,08:00,Standard,890₹,92,6
Uae,AbuDhabiMallAbuDhabi,English,08:00,StandardPremium,"1,135₹",42,1
Uae,YasMallAbuDhabi,English,08:00,Standard,890₹,28,2
Uae,YasMallAbuDhabi,English,08:00,StandardPremium,"1,135₹",40,5
Lebanon,CityCentreBeirut,English,08:05,Standard,"4,594₹",55,5
Lebanon,CityCentreBeirut,English,08:05,StandardVip,"5,134₹",23,1
Uae,NakheelMall,English,08:05,StandardPremium,"1,068₹",48,0
Uae,MallOfTheEmirates,English,08:15,Standard,817₹,75,0
Uae,MallOfTheEmirates,English,08:15,StandardPremium,"1,068₹",102,8
Egypt,MallOfEgypt,English,08:30,MaxStandard,502₹,118,3
Egypt,MallOfEgypt,English,08:30,MaxPremium,544₹,103,14
Kuwait,TheAvenuesKuwait,English,08:30,StandardPremiumFamily,"1,185₹",66,10
Kuwait,TheAvenuesKuwait,English,08:30,StandardPremiumBachelor,"1,185₹",77,5
Kuwait,TheAvenuesKuwait,English,08:30,StandardStandardFamily,922₹,38,0
Kuwait,TheAvenuesKuwait,English,08:30,StandardStandardBachelor,922₹,38,0
Uae,TheGalleriaAlMaryahIsland,English,08:45,Premium,"1,780₹",173,1
Egypt,CityCentreAlmaza,English,09:00,GoldStandard,920₹,38,11
Bahrain,VoxCinemasTheAvenues,English,09:00,StandardPremium,"1,192₹",32,2
Bahrain,VoxCinemasTheAvenues,English,09:00,Standard,953₹,96,2
Uae,NakheelMall,English,09:00,StandardPremium,"1,068₹",90,0
Uae,YasMallAbuDhabi,English,09:00,MaxStandard,968₹,69,2
Uae,YasMallAbuDhabi,English,09:00,MaxPremium,"1,379₹",126,10
Uae,YasMallAbuDhabi,English,09:00,MaxLounger,890₹,10,0
Uae,CityCentreAlZahia,English,09:05,StandardPremium,"1,068₹",73,0
Uae,CityCentreAlZahia,English,09:05,Standard,817₹,79,5
Uae,CityCentreMirdif,English,09:10,StandardPremium,"1,068₹",128,15
Uae,CityCentreMirdif,English,09:10,Standard,817₹,133,3
Uae,MallOfTheEmirates,English,09:15,Standard,817₹,45,4
Uae,MallOfTheEmirates,English,09:15,StandardPremium,"1,068₹",70,19
Oman,CityCentreMuscat,English,09:15,Standard,668₹,85,6
Oman,CityCentreMuscat,English,09:15,StandardPremium,891₹,63,4
Oman,MallOfOman,English,09:15,StandardPremium,957₹,26,10
Oman,MallOfOman,English,09:15,Standard,781₹,19,5
Kuwait,TheAvenuesKuwait,English,09:30,TheatreStandard,"2,897₹",18,15
Uae,AlJimiMall,English,09:30,StandardVip,"1,135₹",72,0
Uae,AlJimiMall,English,09:30,Standard,890₹,92,2
Uae,Mercato,English,09:30,Standard,817₹,73,2
Uae,Mercato,English,09:30,StandardPremium,"1,285₹",101,0
Uae,TheGalleriaAlMaryahIsland,English,09:30,TheatreStandard,"4,005₹",32,3
Qatar,DohaFestivalCity,English,09:40,Standard,898₹,63,0
Qatar,DohaFestivalCity,English,09:40,StandardPremium,"1,122₹",82,2
Qatar,DohaOasis,English,09:40,CouchSingleSeaterPremium,"1,683₹",92,0
Qatar,DohaOasis,English,09:40,CouchSingleSeaterStandard,"1,459₹",51,0
Egypt,MallOfEgypt,English,09:45,Standard,460₹,130,0
Egypt,MallOfEgypt,English,09:45,StandardVip,502₹,126,23
Bahrain,CityCentreBahrain,English,09:45,Standard,845₹,302,17
Uae,AlHamraMallRasAlKhaimah,English,09:45,Standard,817₹,41,3
Uae,AlHamraMallRasAlKhaimah,English,09:45,StandardPremium,"1,068₹",34,2
Uae,WafiMallAtWafiCity,English,09:45,Standard,817₹,56,0
Uae,WafiMallAtWafiCity,English,09:45,StandardPremium,"1,068₹",64,0
Uae,CityCentreAlZahia,English,10:00,Couch2SeaterCouch,"2,336₹",70,4
Uae,MallOfTheEmirates,English,10:00,TheatreStandard,"3,738₹",36,9
Oman,MallOfOman,English,10:00,GoldStandard,"1,783₹",48,20
SaudiArabia,AtyafMallRiyadh,English,10:00,Standard,"1,196₹",30,3
SaudiArabia,AtyafMallRiyadh,English,10:00,StandardPremium,"1,414₹",32,0
SaudiArabia,KingdomCentreRiyadh,English,10:00,VipStandard,"3,263₹",30,14
SaudiArabia,RiyadhFrontRiyadh,English,10:00,MaxPremium,"1,957₹",146,9
SaudiArabia,RiyadhFrontRiyadh,English,10:00,MaxStandard,"1,740₹",125,2
SaudiArabia,RiyadhFrontRiyadh,English,10:00,MaxLounger,"2,175₹",10,0
SaudiArabia,RiyadhParkRiyadh,English,10:00,StandardPremium,"1,957₹",122,2
SaudiArabia,RiyadhParkRiyadh,English,10:00,Standard,"1,740₹",134,6
SaudiArabia,SaharaMallRiyadh,English,10:00,Standard,"1,196₹",61,2
SaudiArabia,SaharaMallRiyadh,English,10:00,StandardPremium,"1,414₹",65,6
SaudiArabia,RedSeaMallJeddah,English,10:05,GoldStandard,"2,393₹",48,7
Egypt,MallOfEgypt,English,10:15,GoldStandard,920₹,32,9
Uae,TheGalleriaAlMaryahIsland,English,10:15,Couch2SeaterCouch,"2,336₹",50,12
SaudiArabia,TheRoofRiyadh,English,10:15,StandardPremium,"1,414₹",57,3
SaudiArabia,TheRoofRiyadh,English,10:15,Standard,"1,196₹",41,0
Lebanon,CityCentreBeirut,English,10:25,Standard,"4,594₹",55,7
Lebanon,CityCentreBeirut,English,10:25,StandardVip,"5,134₹",23,1
Uae,YasMallAbuDhabi,English,10:25,Standard,890₹,28,2
Uae,YasMallAbuDhabi,English,10:25,StandardPremium,"1,135₹",40,5
Uae,CityCentreMirdif,English,10:30,TheatreStandard,"3,738₹",40,2
Uae,NakheelMall,English,10:30,StandardPremium,"1,068₹",48,9
SaudiArabia,WestAvenueMallDammam,English,10:30,MaxPremium,"1,957₹",98,5
SaudiArabia,WestAvenueMallDammam,English,10:30,MaxStandard,"1,740₹",126,2
Egypt,CityCentreAlmaza,English,10:45,StandardPremium,502₹,88,41
Egypt,CityCentreAlmaza,English,10:45,Standard,460₹,132,1
Uae,MallOfTheEmirates,English,10:45,Standard,817₹,75,5
Uae,MallOfTheEmirates,English,10:45,StandardPremium,"1,068₹",102,16
SaudiArabia,RedSeaMallJeddah,English,10:45,StandardPremium,"1,414₹",92,20
SaudiArabia,RedSeaMallJeddah,English,10:45,Standard,"1,196₹",68,9
SaudiArabia,RedSeaMallJeddah,English,10:45,StandardWheelchairSpace,"1,196₹",3,0
SaudiArabia,RiyadhFrontRiyadh,English,10:45,GoldStandard,"3,263₹",32,7
Kuwait,TheAvenuesKuwait,English,10:55,StandardPremiumFamily,"1,185₹",66,11
Kuwait,TheAvenuesKuwait,English,10:55,StandardPremiumBachelor,"1,185₹",77,5
Kuwait,TheAvenuesKuwait,English,10:55,StandardStandardFamily,922₹,38,2
Kuwait,TheAvenuesKuwait,English,10:55,StandardStandardBachelor,922₹,38,2
Uae,AbuDhabiMallAbuDhabi,English,10:55,Standard,890₹,56,6
Uae,AbuDhabiMallAbuDhabi,English,10:55,StandardPremium,"1,135₹",27,4
Uae,Mercato,English,11:00,Standard,817₹,73,6
Uae,Mercato,English,11:00,StandardPremium,"1,285₹",101,9
Uae,YasMallAbuDhabi,English,11:00,TheatreStandard,"4,005₹",36,6
Qatar,DohaOasis,English,11:00,Standard,"1,010₹",48,0
SaudiArabia,TheEsplanadeRiyadh,English,11:00,MaxPremium,"1,957₹",142,3
SaudiArabia,TheEsplanadeRiyadh,English,11:00,MaxStandard,"1,740₹",125,0
SaudiArabia,TheEsplanadeRiyadh,English,11:00,MaxLounger,"2,175₹",6,0
SaudiArabia,TownSquareJeddah,English,11:00,VipPremium,"1,740₹",46,3
Egypt,MallOfEgypt,English,11:15,MaxStandard,502₹,118,3
Egypt,MallOfEgypt,English,11:15,MaxPremium,544₹,103,24
Uae,CityCentreAlZahia,English,11:15,GoldStandard,"1,507₹",40,9
Uae,NationTowersAbuDhabi,English,11:15,StandardPremium,"1,379₹",60,2
Uae,NationTowersAbuDhabi,English,11:15,Standard,890₹,64,2
Uae,TheGalleriaAlMaryahIsland,English,11:15,Premium,"1,780₹",173,0
Oman,CityCentreMuscat,English,11:15,Standard,668₹,47,5
Oman,CityCentreMuscat,English,11:15,StandardPremium,891₹,44,10
SaudiArabia,TheEsplanadeRiyadh,English,11:20,GoldStandard,"3,263₹",32,13
Bahrain,VoxCinemasTheAvenues,English,11:30,StandardPremium,"1,192₹",32,5
Bahrain,VoxCinemasTheAvenues,English,11:30,Standard,953₹,96,9
Kuwait,TheAvenuesKuwait,English,11:30,TheatreStandard,"2,897₹",32,8
Lebanon,CityCentreBeirut,English,11:30,GoldStandard,"7,026₹",22,4
Uae,CityCentreFujairah,English,11:30,VipPremium,"1,402₹",78,8
Uae,CityCentreMirdif,English,11:30,StandardPremium,"1,068₹",128,17
Uae,CityCentreMirdif,English,11:30,Standard,817₹,133,6
Uae,NakheelMall,English,11:30,StandardPremium,"1,068₹",90,3
Uae,YasMallAbuDhabi,English,11:30,MaxStandard,968₹,69,0
Uae,YasMallAbuDhabi,English,11:30,MaxPremium,"1,379₹",126,26
Uae,YasMallAbuDhabi,English,11:30,MaxLounger,890₹,10,0
Oman,MallOfOman,English,11:30,GoldStandard,"1,783₹",48,18
SaudiArabia,KingdomCentreRiyadh,English,11:30,VipStandard,"3,263₹",24,13
SaudiArabia,RedSeaMallJeddah,English,11:30,GoldStandard,"2,393₹",48,17
Uae,CityCentreAlZahia,English,11:35,StandardPremium,"1,068₹",73,14
Uae,CityCentreAlZahia,English,11:35,Standard,817₹,79,5
Uae,NakheelMall,English,11:35,TheatreStandard,"3,738₹",16,4
Egypt,CityCentreAlmaza,English,11:45,GoldStandard,920₹,38,32
Uae,CityCentreMirdif,English,11:45,TheatreStandard,"3,738₹",40,0
Uae,MallOfTheEmirates,English,11:45,TheatreStandard,"3,738₹",36,12
Uae,MallOfTheEmirates,English,11:45,Standard,817₹,45,1
Uae,MallOfTheEmirates,English,11:45,StandardPremium,"1,068₹",70,16
SaudiArabia,RiyadhFrontRiyadh,English,11:45,GoldStandard,"3,263₹",12,2
Egypt,MallOfEgypt,English,12:00,GoldStandard,920₹,32,13
Bahrain,CityCentreBahrain,English,12:00,Standard,845₹,302,39
Uae,TheGalleriaAlMaryahIsland,English,12:00,TheatreStandard,"4,005₹",32,4
Qatar,DohaFestivalCity,English,12:00,Standard,898₹,63,2
Qatar,DohaFestivalCity,English,12:00,StandardPremium,"1,122₹",82,22
Qatar,DohaOasis,English,12:00,VipStandard,"3,929₹",16,2
Qatar,DohaOasis,English,12:00,CouchSingleSeaterPremium,"1,683₹",92,0
Qatar,DohaOasis,English,12:00,CouchSingleSeaterStandard,"1,459₹",51,0
Oman,MallOfOman,English,12:10,StandardPremium,954₹,82,15
Oman,MallOfOman,English,12:10,Standard,778₹,150,7
Uae,WafiMallAtWafiCity,English,12:15,Standard,815₹,56,0
Uae,WafiMallAtWafiCity,English,12:15,StandardPremium,"1,064₹",64,0
SaudiArabia,RedSeaMallJeddah,English,12:15,StandardPremium,"1,408₹",92,16
SaudiArabia,RedSeaMallJeddah,English,12:15,Standard,"1,192₹",68,4
SaudiArabia,RedSeaMallJeddah,English,12:15,StandardWheelchairSpace,"1,192₹",3,0
SaudiArabia,AtyafMallRiyadh,English,12:20,Standard,"1,192₹",30,0
SaudiArabia,AtyafMallRiyadh,English,12:20,StandardPremium,"1,408₹",32,10
SaudiArabia,AlQasrMallRiyadh,English,12:30,StandardPremium,"1,408₹",53,0
SaudiArabia,AlQasrMallRiyadh,English,12:30,Standard,"1,192₹",52,2
Egypt,MallOfEgypt,English,12:30,Standard,458₹,130,0
Egypt,MallOfEgypt,English,12:30,StandardVip,500₹,126,32
Uae,CityCentreDeira,English,12:30,Standard,815₹,54,7
Uae,CityCentreDeira,English,12:30,StandardPremium,"1,064₹",50,16
SaudiArabia,KingdomCentreRiyadh,English,12:30,VipStandard,"3,251₹",30,11
SaudiArabia,RiyadhFrontRiyadh,English,12:30,MaxPremium,"1,950₹",146,10
SaudiArabia,RiyadhFrontRiyadh,English,12:30,MaxStandard,"1,734₹",125,2
SaudiArabia,RiyadhFrontRiyadh,English,12:30,MaxLounger,"2,167₹",10,0
SaudiArabia,RiyadhParkRiyadh,English,12:30,StandardPremium,"1,950₹",122,23
SaudiArabia,RiyadhParkRiyadh,English,12:30,Standard,"1,734₹",134,3
SaudiArabia,SaharaMallRiyadh,English,12:30,Standard,"1,192₹",61,2
SaudiArabia,SaharaMallRiyadh,English,12:30,StandardPremium,"1,408₹",65,12
SaudiArabia,TownSquareJeddah,English,12:30,StandardPremium,"1,408₹",20,7
SaudiArabia,TownSquareJeddah,English,12:30,Standard,"1,192₹",26,2
SaudiArabia,RedSeaMallJeddah,English,12:35,GoldStandard,"2,384₹",48,23
SaudiArabia,SaharaMallRiyadh,English,12:35,GoldStandard,"2,384₹",20,6
Egypt,CityCentreAlmaza,English,12:45,MaxPremium,542₹,46,37
Egypt,CityCentreAlmaza,English,12:45,MaxStandard,500₹,99,0
Lebanon,CityCentreBeirut,English,12:45,Standard,"4,578₹",55,9
Lebanon,CityCentreBeirut,English,12:45,StandardVip,"5,116₹",23,1
Uae,MallOfTheEmirates,English,12:45,TheatreStandard,"3,726₹",36,15
Uae,TheGalleriaAlMaryahIsland,English,12:45,Couch2SeaterCouch,"2,329₹",50,12
SaudiArabia,JubailGalleriaMallJubail,English,12:45,Standard,"1,408₹",85,23
SaudiArabia,TheRoofRiyadh,English,12:45,StandardPremium,"1,408₹",57,7
SaudiArabia,TheRoofRiyadh,English,12:45,Standard,"1,192₹",41,0
Egypt,MallOfEgypt,English,13:00,GoldStandard,917₹,32,10
Bahrain,VoxCinemasTheAvenues,English,13:00,TheatreStandard,"2,852₹",32,19
Uae,AlJimiMall,English,13:00,StandardVip,"1,131₹",46,27
Uae,AlJimiMall,English,13:00,Standard,887₹,46,7
Uae,NakheelMall,English,13:00,StandardPremium,"1,064₹",48,9
Uae,WafiMallAtWafiCity,English,13:00,TheatreStandard,"3,726₹",66,4
Qatar,DohaFestivalCity,English,13:00,TheatreStandard,"3,916₹",23,20
SaudiArabia,TabukParkTabuk,English,13:00,Standard,"1,192₹",21,5
SaudiArabia,TabukParkTabuk,English,13:00,StandardPremium,"1,408₹",29,5
SaudiArabia,TheRoofRiyadh,English,13:00,VipPremium,"1,734₹",48,4
SaudiArabia,WestAvenueMallDammam,English,13:00,MaxPremium,"1,950₹",98,12
SaudiArabia,WestAvenueMallDammam,English,13:00,MaxStandard,"1,734₹",126,4
Uae,CityCentreAjman,English,13:10,Standard,892₹,46,17
Uae,CityCentreAjman,English,13:10,StandardPremium,"1,153₹",29,7
Uae,CityCentreMirdif,English,13:15,TheatreStandard,"3,726₹",40,9
Uae,MallOfTheEmirates,English,13:15,Standard,815₹,75,12
Uae,MallOfTheEmirates,English,13:15,StandardPremium,"1,064₹",102,29
SaudiArabia,RiyadhFrontRiyadh,English,13:15,GoldStandard,"3,251₹",32,11
SaudiArabia,TheEsplanadeRiyadh,English,13:15,MaxPremium,"1,950₹",142,5
SaudiArabia,TheEsplanadeRiyadh,English,13:15,MaxStandard,"1,734₹",125,0
SaudiArabia,TheEsplanadeRiyadh,English,13:15,MaxLounger,"2,167₹",6,0
Kuwait,TheAvenuesKuwait,English,13:20,StandardPremiumFamily,"1,182₹",66,32
Kuwait,TheAvenuesKuwait,English,13:20,StandardPremiumBachelor,"1,182₹",77,22
Kuwait,TheAvenuesKuwait,English,13:20,StandardStandardFamily,919₹,38,6
