Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,01:00,GoldStandard,"3,179₹",12,0
SaudiArabia,RiyadhFrontRiyadh,English,05:45,GoldStandard,"3,179₹",12,0
SaudiArabia,RiyadhFrontRiyadh,English,07:00,StandardPremium,"1,377₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,07:00,Standard,"1,165₹",32,2
SaudiArabia,TownSquareJeddah,English,07:15,ImaxPremium,"2,013₹",138,2
SaudiArabia,TownSquareJeddah,English,07:15,ImaxStandard,"1,801₹",160,0
SaudiArabia,TownSquareJeddah,English,07:15,ImaxLounger,"2,225₹",13,0
SaudiArabia,RedSeaMallJeddah,English,07:40,ImaxPremium,"2,013₹",151,0
SaudiArabia,RedSeaMallJeddah,English,07:40,ImaxStandard,"1,801₹",106,4
SaudiArabia,RedSeaMallJeddah,English,07:40,ImaxLounger,"2,225₹",14,0
Lebanon,CityCentreBeirut,English,07:45,4DxStandard,"6,929₹",60,1
SaudiArabia,RiyadhParkRiyadh,English,08:00,IceImmersivePremium,"1,589₹",51,0
SaudiArabia,RiyadhParkRiyadh,English,08:00,IceImmersiveStandard,"1,589₹",47,0
SaudiArabia,TownSquareJeddah,English,08:00,Mx4DPremium,"2,119₹",40,0
Uae,CityCentreMirdif,English,08:30,StandardPremium,"1,040₹",71,4
Uae,CityCentreMirdif,English,08:30,Standard,796₹,70,0
Uae,MallOfTheEmirates,English,09:00,4DxVirginRadioStandard,"1,707₹",160,21
Uae,CityCentreMirdif,English,09:30,4DxVirginRadioStandard,"1,707₹",124,12
Uae,TheGalleriaAlMaryahIsland,English,09:50,StandardPremium,"1,105₹",28,1
Uae,TheGalleriaAlMaryahIsland,English,09:50,Standard,867₹,16,0
SaudiArabia,AtyafMallRiyadh,English,10:00,Vip,"1,695₹",30,0
SaudiArabia,RiyadhParkRiyadh,English,10:00,ImaxStandard,"1,483₹",210,1
SaudiArabia,AlQasrMallRiyadh,English,10:15,StandardPremium,"1,377₹",53,0
SaudiArabia,AlQasrMallRiyadh,English,10:15,Standard,"1,165₹",52,0
SaudiArabia,TownSquareJeddah,English,10:30,IceImmersivePremium,"1,589₹",147,4
Uae,MallOfTheEmirates,English,10:40,Standard,796₹,45,0
Uae,MallOfTheEmirates,English,10:40,StandardPremium,"1,040₹",46,8
Uae,YasMallAbuDhabi,English,11:30,4DxVirginRadioStandard,"1,707₹",96,5
Uae,MegaplexCineplexGrandHyatt,English,11:45,4DxVirginRadioStandard,"1,707₹",68,1
Uae,TheGalleriaAlMaryahIsland,English,12:00,ImaxPremium,"1,897₹",238,2
Uae,TheGalleriaAlMaryahIsland,English,12:00,ImaxStandard,"1,301₹",144,0
Uae,TheGalleriaAlMaryahIsland,English,12:00,ImaxLounger,"1,084₹",19,0
SaudiArabia,RiyadhFrontRiyadh,English,12:30,GoldStandard,"3,179₹",12,0
SaudiArabia,TownSquareJeddah,English,12:45,ImaxPremium,"2,013₹",138,2
SaudiArabia,TownSquareJeddah,English,12:45,ImaxStandard,"1,801₹",160,0
SaudiArabia,TownSquareJeddah,English,12:45,ImaxLounger,"2,225₹",13,0
SaudiArabia,TabukParkTabuk,English,13:00,Standard,"1,165₹",24,1
SaudiArabia,TabukParkTabuk,English,13:00,StandardPremium,"1,377₹",24,0
SaudiArabia,RedSeaMallJeddah,English,13:25,ImaxPremium,"2,013₹",151,4
SaudiArabia,RedSeaMallJeddah,English,13:25,ImaxStandard,"1,801₹",106,2
SaudiArabia,RedSeaMallJeddah,English,13:25,ImaxLounger,"2,225₹",14,0
Lebanon,CityCentreBeirut,English,13:30,4DxStandard,"6,929₹",60,14
SaudiArabia,RiyadhParkRiyadh,English,13:30,IceImmersivePremium,"1,589₹",51,2
SaudiArabia,RiyadhParkRiyadh,English,13:30,IceImmersiveStandard,"1,589₹",47,0
SaudiArabia,TownSquareJeddah,English,13:30,Mx4DPremium,"2,119₹",40,0
Uae,MallOfTheEmirates,English,14:00,Standard,796₹,68,47
Uae,MallOfTheEmirates,English,14:00,StandardPremium,"1,040₹",69,15
Uae,CityCentreDeira,English,14:25,4DxVirginRadioStandard,"1,707₹",124,2
SaudiArabia,RiyadhParkRiyadh,English,15:30,ImaxStandard,"1,483₹",210,12
Uae,TheGalleriaAlMaryahIsland,English,15:30,StandardPremium,"1,105₹",28,2
Uae,TheGalleriaAlMaryahIsland,English,15:30,Standard,867₹,16,0
SaudiArabia,AlQasrMallRiyadh,English,15:45,StandardPremium,"1,377₹",53,2
SaudiArabia,AlQasrMallRiyadh,English,15:45,Standard,"1,165₹",52,6
SaudiArabia,AtyafMallRiyadh,English,15:45,Vip,"1,695₹",30,4
SaudiArabia,HailSquareHail,English,15:45,Standard,"1,165₹",91,1
SaudiArabia,HailSquareHail,English,15:45,StandardPremium,"1,377₹",91,0
SaudiArabia,TownSquareJeddah,English,16:00,IceImmersivePremium,"1,589₹",147,2
Uae,CityCentreMirdif,English,16:00,StandardPremium,"1,040₹",71,12
Uae,CityCentreMirdif,English,16:00,Standard,796₹,70,2
Uae,MallOfTheEmirates,English,16:45,Standard,796₹,68,45
Uae,MallOfTheEmirates,English,16:45,StandardPremium,"1,040₹",69,27
SaudiArabia,HailSquareHail,English,16:45,Standard,"1,165₹",91,0
SaudiArabia,HailSquareHail,English,16:45,StandardPremium,"1,377₹",91,0
SaudiArabia,RiyadhFrontRiyadh,English,17:00,StandardPremium,"1,377₹",24,10
SaudiArabia,RiyadhFrontRiyadh,English,17:00,Standard,"1,165₹",32,2
Bahrain,CityCentreBahrain,English,17:30,Standard,824₹,120,25
SaudiArabia,TabukParkTabuk,English,17:35,Standard,"1,165₹",24,5
SaudiArabia,TabukParkTabuk,English,17:35,StandardPremium,"1,377₹",24,1
Uae,YasMallAbuDhabi,English,17:40,TheatreStandard,"3,903₹",36,2
Uae,CityCentreAjman,English,17:45,4DxVirginRadioStandard,"1,707₹",64,0
Uae,MallOfTheEmirates,English,17:45,TheatreStandard,"3,643₹",34,10
SaudiArabia,TownSquareJeddah,English,18:15,ImaxPremium,"2,013₹",138,2
SaudiArabia,TownSquareJeddah,English,18:15,ImaxStandard,"1,801₹",160,0
SaudiArabia,TownSquareJeddah,English,18:15,ImaxLounger,"2,225₹",13,0
Uae,CityCentreMirdif,English,18:15,4DxVirginRadioStandard,"1,707₹",124,19
Uae,TheGalleriaAlMaryahIsland,English,18:20,StandardPremium,"1,105₹",28,6
Uae,TheGalleriaAlMaryahIsland,English,18:20,Standard,867₹,16,0
SaudiArabia,RiyadhFrontRiyadh,English,18:45,GoldStandard,"3,179₹",12,2
SaudiArabia,RiyadhParkRiyadh,English,19:00,IceImmersivePremium,"1,589₹",51,12
SaudiArabia,RiyadhParkRiyadh,English,19:00,IceImmersiveStandard,"1,589₹",47,2
SaudiArabia,TownSquareJeddah,English,19:00,Mx4DPremium,"2,119₹",40,2
SaudiArabia,RedSeaMallJeddah,English,19:15,ImaxPremium,"2,013₹",151,12
SaudiArabia,RedSeaMallJeddah,English,19:15,ImaxStandard,"1,801₹",106,4
SaudiArabia,RedSeaMallJeddah,English,19:15,ImaxLounger,"2,225₹",14,0
Uae,MallOfTheEmirates,English,19:30,Standard,796₹,68,2
Uae,MallOfTheEmirates,English,19:30,StandardPremium,"1,040₹",69,6
SaudiArabia,HailSquareHail,English,19:45,Standard,"1,165₹",91,4
SaudiArabia,HailSquareHail,English,19:45,StandardPremium,"1,377₹",91,0
Bahrain,CityCentreBahrain,English,20:15,Standard,824₹,120,5
SaudiArabia,HailSquareHail,English,20:45,Standard,"1,165₹",91,1
SaudiArabia,HailSquareHail,English,20:45,StandardPremium,"1,377₹",91,0
SaudiArabia,RiyadhParkRiyadh,English,21:00,ImaxStandard,"1,483₹",210,1
SaudiArabia,AlQasrMallRiyadh,English,21:15,StandardPremium,"1,377₹",53,5
SaudiArabia,AlQasrMallRiyadh,English,21:15,Standard,"1,165₹",52,2
SaudiArabia,AtyafMallRiyadh,English,21:30,Vip,"1,695₹",30,0
SaudiArabia,TownSquareJeddah,English,21:30,IceImmersivePremium,"1,589₹",147,3
SaudiArabia,RiyadhFrontRiyadh,English,22:00,StandardPremium,"1,377₹",24,2
SaudiArabia,RiyadhFrontRiyadh,English,22:00,Standard,"1,165₹",32,6
SaudiArabia,HailSquareHail,English,22:30,Standard,"1,165₹",91,0
