Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Oman,CityCentreQurum,Tamil,08:00,Standard,761₹,47,0
Oman,CityCentreQurum,Tamil,08:00,StandardPremium,933₹,47,6
SaudiArabia,AlQasrMallRiyadh,Tamil,08:15,StandardPremium,"1,377₹",41,1
SaudiArabia,AlQasrMallRiyadh,Tamil,08:15,Standard,"1,165₹",38,2
Uae,MegaplexCineplexGrandHyatt,Tamil,09:30,Standard,796₹,96,0
Uae,MegaplexCineplexGrandHyatt,Tamil,09:30,StandardPremium,"1,040₹",104,2
Oman,Mgm,Tamil,10:00,StandardPremium,869₹,38,0
Oman,Mgm,Tamil,10:00,Standard,761₹,35,4
Uae,CityCentreDeira,Tamil,10:00,Standard,796₹,111,9
Uae,CityCentreDeira,Tamil,10:00,StandardPremium,"1,040₹",96,24
Oman,CityCentreSuhar,Tamil,10:15,Standard,652₹,74,0
Oman,CityCentreSuhar,Tamil,10:15,StandardPremium,761₹,43,4
Uae,CityCentreSharjah,Tamil,10:15,Standard,796₹,40,0
Uae,CityCentreSharjah,Tamil,10:15,StandardPremium,"1,040₹",36,2
Uae,CityCentreSharjah,Tamil,10:30,StandardPremium,910₹,70,0
Uae,CityCentreShindagha,Tamil,10:45,Standard,796₹,100,2
Uae,CityCentreShindagha,Tamil,10:45,StandardPremium,"1,040₹",30,0
Uae,AbuDhabiMallAbuDhabi,Tamil,11:00,Standard,867₹,80,0
Uae,AbuDhabiMallAbuDhabi,Tamil,11:00,StandardPremium,"1,105₹",36,0
Uae,CityCentreDeira,Tamil,11:15,MaxCity1016Standard,867₹,153,9
Uae,CityCentreDeira,Tamil,11:15,MaxCity1016Premium,"1,252₹",210,23
Uae,CityCentreDeira,Tamil,11:15,MaxCity1016Lounger,796₹,19,0
Uae,CityCentreSharjah,Tamil,11:15,Standard,796₹,79,4
Uae,CityCentreSharjah,Tamil,11:15,StandardPremium,"1,040₹",67,0
Uae,Burjuman,Tamil,11:25,StandardPremium,"1,040₹",110,4
Uae,Burjuman,Tamil,11:25,Standard,796₹,80,6
Uae,MegaplexCineplexGrandHyatt,Tamil,11:30,Standard,796₹,240,29
Uae,MegaplexCineplexGrandHyatt,Tamil,11:30,StandardPremium,"1,040₹",148,0
Oman,Azaiba,Tamil,11:40,Standard,587₹,129,6
Oman,CityCentreQurum,Tamil,11:40,Standard,761₹,47,1
Oman,CityCentreQurum,Tamil,11:40,StandardPremium,933₹,47,4
Uae,CityCentreShindagha,Tamil,11:45,Standard,796₹,126,0
Uae,CityCentreShindagha,Tamil,11:45,StandardPremium,"1,040₹",78,0
Oman,Ruwi,Tamil,12:00,Standard,628₹,27,0
