Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Hindi,08:30,MaxCity1016Premium,"1,166₹",120,6
Uae,Burjuman,Hindi,08:30,MaxCity1016Standard,889₹,104,5
Uae,CityCentreDeira,Hindi,08:30,Standard,816₹,111,7
Uae,CityCentreDeira,Hindi,08:30,StandardPremium,"1,066₹",96,5
Uae,MallOfTheEmirates,Hindi,08:30,Standard,816₹,80,4
Uae,MallOfTheEmirates,Hindi,08:30,StandardPremium,"1,066₹",106,10
Uae,NakheelMall,Hindi,10:45,TheatreStandard,"3,716₹",16,1
Bahrain,CityCentreBahrain,Hindi,10:45,Standard,843₹,116,9
Uae,CityCentreDeira,Hindi,11:00,GoldStandard,"2,100₹",40,4
Uae,YasMallAbuDhabi,Hindi,11:00,Standard,889₹,107,8
Uae,YasMallAbuDhabi,Hindi,11:00,StandardPremium,"1,133₹",134,7
Uae,Burjuman,Hindi,11:10,VipPremium,"1,400₹",50,2
Uae,CityCentreDeira,Hindi,11:10,MaxCity1016WithLaserBalcony,"1,821₹",138,0
Uae,CityCentreDeira,Hindi,11:10,MaxCity1016WithLaserPremium,"1,366₹",148,18
Uae,CityCentreDeira,Hindi,11:10,MaxCity1016WithLaserStandard,910₹,212,0
Uae,CityCentreDeira,Hindi,11:10,MaxCity1016WithLaserLounger,910₹,28,0
Uae,AlJimiMall,Hindi,11:30,StandardVip,"1,105₹",72,0
Uae,AlJimiMall,Hindi,11:30,Standard,867₹,92,1
Uae,CityCentreAlZahia,Hindi,11:30,MaxPremium,"1,252₹",202,0
Uae,CityCentreAlZahia,Hindi,11:30,MaxStandard,867₹,128,0
Uae,CityCentreAlZahia,Hindi,11:30,MaxLounger,796₹,14,0
Uae,CityCentreFujairah,Hindi,11:30,MaxStandard,867₹,141,0
Uae,CityCentreFujairah,Hindi,11:30,MaxPremium,"1,138₹",110,6
Uae,CityCentreMirdif,Hindi,11:30,MaxStandard,889₹,168,8
Uae,CityCentreMirdif,Hindi,11:30,MaxVip,"1,283₹",208,36
Uae,CityCentreSharjah,Hindi,11:30,Standard,816₹,79,3
Uae,CityCentreSharjah,Hindi,11:30,StandardPremium,"1,066₹",67,4
Uae,NakheelMall,Hindi,11:30,MaxWithLaserPremium,"1,277₹",250,0
Uae,TheGalleriaAlMaryahIsland,Hindi,11:30,StandardPremium,"1,128₹",82,0
Uae,TheGalleriaAlMaryahIsland,Hindi,11:30,Standard,884₹,80,0
Uae,WafiMallAtWafiCity,Hindi,11:30,MaxStandard,889₹,191,0
Uae,WafiMallAtWafiCity,Hindi,11:30,MaxPremium,"1,166₹",277,2
Uae,AlJimiMall,Hindi,11:30,StandardVip,"1,133₹",46,3
Uae,AlJimiMall,Hindi,11:30,Standard,889₹,41,4
Uae,CityCentreAlZahia,Hindi,11:30,MaxPremium,"1,283₹",99,4
Uae,CityCentreAlZahia,Hindi,11:30,MaxStandard,889₹,78,7
Uae,CityCentreAlZahia,Hindi,11:30,MaxLounger,816₹,12,0
Uae,CityCentreFujairah,Hindi,11:30,Standard,816₹,86,5
Uae,CityCentreFujairah,Hindi,11:30,StandardPremium,"1,066₹",81,6
Uae,AlHamraMallRasAlKhaimah,Hindi,11:45,MaxStandard,867₹,171,0
Uae,AlHamraMallRasAlKhaimah,Hindi,11:45,MaxPremium,"1,138₹",100,0
Uae,AlHamraMallRasAlKhaimah,Hindi,11:45,MaxBalcony,"1,366₹",22,0
Uae,CityCentreAjman,Hindi,11:45,MaxStandard,977₹,103,2
Uae,CityCentreAjman,Hindi,11:45,MaxPremium,"1,278₹",198,3
Uae,CityCentreShindagha,Hindi,11:45,Standard,816₹,100,40
Uae,CityCentreShindagha,Hindi,11:45,StandardPremium,"1,066₹",30,4
Uae,AbuDhabiMallAbuDhabi,Hindi,11:45,MaxStandard,943₹,68,0
Uae,AbuDhabiMallAbuDhabi,Hindi,11:45,MaxPremium,"1,192₹",98,0
Uae,Burjuman,Hindi,11:55,MaxCity1016Premium,"1,166₹",120,12
Uae,Burjuman,Hindi,11:55,MaxCity1016Standard,889₹,104,2
Uae,CityCentreDeira,Hindi,12:00,Standard,816₹,111,8
Uae,CityCentreDeira,Hindi,12:00,StandardPremium,"1,066₹",96,8
Uae,MallOfTheEmirates,Hindi,12:00,Standard,816₹,80,15
Uae,MallOfTheEmirates,Hindi,12:00,StandardPremium,"1,066₹",106,15
Uae,Mercato,Hindi,12:00,Standard,816₹,76,0
Uae,Mercato,Hindi,12:00,StandardPremium,"1,283₹",101,9
Uae,NationTowersAbuDhabi,Hindi,12:00,StandardPremium,"1,371₹",69,0
Uae,NationTowersAbuDhabi,Hindi,12:00,Standard,884₹,52,0
Oman,Sur,Hindi,13:00,Standard,514₹,167,13
SaudiArabia,AlQasrMallRiyadh,Hindi,14:00,MaxPremium,"1,959₹",88,0
SaudiArabia,AlQasrMallRiyadh,Hindi,14:00,MaxStandard,"1,741₹",60,4
SaudiArabia,AlQasrMallRiyadh,Hindi,14:00,MaxLounger,"2,176₹",8,0
SaudiArabia,SaharaMallRiyadh,Hindi,14:00,Standard,"1,197₹",61,0
SaudiArabia,SaharaMallRiyadh,Hindi,14:00,StandardPremium,"1,414₹",65,2
SaudiArabia,TabukParkTabuk,Hindi,14:00,Standard,"1,197₹",20,0
SaudiArabia,TabukParkTabuk,Hindi,14:00,StandardPremium,"1,414₹",32,0
Uae,CityCentreSharjah,Hindi,14:05,VipPremium,"1,403₹",48,11
Uae,MegaplexCineplexGrandHyatt,Hindi,14:15,Standard,818₹,207,19
Uae,MegaplexCineplexGrandHyatt,Hindi,14:15,StandardPremium,"1,069₹",89,8
Uae,NakheelMall,Hindi,14:30,TheatreStandard,"3,716₹",16,1
Uae,YasMallAbuDhabi,Hindi,14:30,Standard,891₹,107,13
Uae,YasMallAbuDhabi,Hindi,14:30,StandardPremium,"1,136₹",134,31
SaudiArabia,AtyafMallRiyadh,Hindi,14:30,Standard,"1,197₹",30,0
SaudiArabia,AtyafMallRiyadh,Hindi,14:30,StandardPremium,"1,414₹",30,0
SaudiArabia,TownSquareJeddah,Hindi,14:30,StandardPremium,"1,414₹",58,9
SaudiArabia,TownSquareJeddah,Hindi,14:30,Standard,"1,197₹",80,0
Uae,NakheelMall,Hindi,14:30,TheatreStandard,"3,742₹",16,1
Uae,Burjuman,Hindi,14:35,VipPremium,"1,403₹",50,15
Uae,CityCentreDeira,Hindi,14:35,MaxCity1016WithLaserBalcony,"1,871₹",138,11
Uae,CityCentreDeira,Hindi,14:35,MaxCity1016WithLaserPremium,"1,403₹",148,2
Uae,CityCentreDeira,Hindi,14:35,MaxCity1016WithLaserStandard,935₹,212,11
Uae,CityCentreDeira,Hindi,14:35,MaxCity1016WithLaserLounger,935₹,28,0
Oman,CityCentreQurum,Hindi,14:35,Standard,782₹,42,5
Oman,CityCentreQurum,Hindi,14:35,StandardPremium,958₹,53,12
Oman,NizwaGrandMall,Hindi,14:35,Standard,669₹,60,2
Oman,NizwaGrandMall,Hindi,14:35,StandardPremium,782₹,58,6
Uae,NakheelMall,Hindi,14:45,MaxWithLaserPremium,"1,286₹",250,10
Uae,AlHamraMallRasAlKhaimah,Hindi,14:50,MaxStandard,891₹,171,12
Uae,AlHamraMallRasAlKhaimah,Hindi,14:50,MaxPremium,"1,169₹",100,16
Uae,AlHamraMallRasAlKhaimah,Hindi,14:50,MaxBalcony,"1,403₹",22,8
Uae,AlJimiMall,Hindi,14:55,StandardVip,"1,105₹",72,0
Uae,AlJimiMall,Hindi,14:55,Standard,867₹,92,1
Uae,AlJimiMall,Hindi,14:55,StandardVip,"1,128₹",46,0
Uae,AlJimiMall,Hindi,14:55,Standard,884₹,41,4
Oman,CityCentreMuscat,Hindi,14:55,Standard,669₹,36,25
Uae,CityCentreAlZahia,Hindi,15:00,MaxPremium,"1,252₹",202,0
Uae,CityCentreAlZahia,Hindi,15:00,MaxStandard,867₹,128,0
Uae,CityCentreAlZahia,Hindi,15:00,MaxLounger,796₹,14,0
Uae,CityCentreFujairah,Hindi,15:00,MaxStandard,867₹,141,0
Uae,CityCentreFujairah,Hindi,15:00,MaxPremium,"1,138₹",110,6
Uae,CityCentreMirdif,Hindi,15:00,MaxStandard,891₹,168,13
Uae,CityCentreMirdif,Hindi,15:00,MaxVip,"1,286₹",208,78
Uae,CityCentreSharjah,Hindi,15:00,Standard,818₹,79,8
Uae,CityCentreSharjah,Hindi,15:00,StandardPremium,"1,069₹",67,11
Uae,NakheelMall,Hindi,15:00,MaxWithLaserPremium,"1,277₹",250,0
