Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,Standard,816₹,39,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,StandardPremium,"1,066₹",61,1
Uae,Burjuman,Malayalam,10:20,Standard,816₹,31,2
SaudiArabia,AtyafMallRiyadh,Malayalam,10:45,Standard,"1,193₹",19,0
SaudiArabia,AtyafMallRiyadh,Malayalam,10:45,StandardPremium,"1,410₹",22,0
Uae,CityCentreDeira,Malayalam,10:45,Standard,816₹,64,0
Uae,CityCentreDeira,Malayalam,10:45,StandardPremium,"1,066₹",43,1
Oman,CityCentreSuhar,Malayalam,12:00,Standard,668₹,50,0
Oman,CityCentreSuhar,Malayalam,12:00,StandardPremium,780₹,28,4
Uae,CityCentreShindagha,Malayalam,13:30,Standard,796₹,93,0
Uae,CityCentreShindagha,Malayalam,13:30,StandardPremium,"1,040₹",31,0
Uae,Burjuman,Malayalam,13:40,VipPremium,"1,405₹",50,15
Uae,CityCentreSharjah,Malayalam,14:00,Standard,819₹,45,0
Uae,CityCentreSharjah,Malayalam,14:00,StandardPremium,"1,070₹",35,4
Uae,CityCentreShindagha,Malayalam,14:40,Standard,819₹,31,0
Uae,CityCentreShindagha,Malayalam,14:40,StandardPremium,"1,070₹",14,0
Oman,CityCentreSuhar,Malayalam,14:45,Standard,671₹,35,0
Oman,CityCentreSuhar,Malayalam,14:45,StandardPremium,784₹,9,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:15,Standard,819₹,39,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:15,StandardPremium,"1,070₹",61,1
Uae,Burjuman,Malayalam,15:30,Standard,819₹,31,4
Oman,Azaiba,Malayalam,16:15,Standard,605₹,102,4
Uae,CityCentreDeira,Malayalam,16:30,Standard,819₹,64,0
Uae,CityCentreDeira,Malayalam,16:30,StandardPremium,"1,070₹",43,2
SaudiArabia,AtyafMallRiyadh,Malayalam,17:15,Standard,"1,196₹",19,0
SaudiArabia,AtyafMallRiyadh,Malayalam,17:15,StandardPremium,"1,414₹",22,0
Uae,Burjuman,Malayalam,19:00,VipPremium,"1,405₹",50,15
Uae,CityCentreShindagha,Malayalam,19:05,Standard,796₹,93,0
Uae,CityCentreShindagha,Malayalam,19:05,StandardPremium,"1,040₹",31,0
Uae,CityCentreSharjah,Malayalam,19:35,Standard,819₹,45,2
Uae,CityCentreSharjah,Malayalam,19:35,StandardPremium,"1,070₹",35,2
