Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,01:00,KidsPremium,"1,166₹",50,2
Uae,CityCentreMirdif,English,08:55,StandardPremium,"1,041₹",20,0
Uae,CityCentreMirdif,English,08:55,Standard,797₹,25,0
Uae,NakheelMall,English,10:15,StandardPremium,"1,041₹",25,9
Uae,CityCentreMirdif,English,14:05,StandardPremium,"1,041₹",20,13
Uae,CityCentreMirdif,English,14:05,Standard,797₹,25,11
Kuwait,TheAvenuesKuwait,English,14:20,HubStandard,"2,584₹",60,32
Uae,MallOfTheEmirates,English,14:40,StandardPremium,"1,041₹",48,45
Qatar,DohaOasis,English,15:25,Standard,985₹,43,4
Uae,YasMallAbuDhabi,English,16:00,Standard,868₹,25,18
Uae,YasMallAbuDhabi,English,16:00,StandardPremium,"1,106₹",18,17
Qatar,DohaFestivalCity,English,17:25,Standard,875₹,24,0
Qatar,DohaFestivalCity,English,17:25,StandardPremium,"1,094₹",31,16
Uae,NakheelMall,English,18:45,StandardPremium,"1,041₹",25,9
Uae,TheGalleriaAlMaryahIsland,English,19:05,StandardPremium,"1,106₹",25,1
Uae,TheGalleriaAlMaryahIsland,English,19:05,Standard,868₹,20,0
Kuwait,TheAvenuesKuwait,English,19:20,StandardPremiumFamily,"1,163₹",15,9
Kuwait,TheAvenuesKuwait,English,19:20,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,19:20,StandardPremiumBachelor,"1,163₹",12,1
Kuwait,TheAvenuesKuwait,English,19:20,StandardStandardBachelor,904₹,10,0
SaudiArabia,RiyadhFrontRiyadh,English,19:30,KidsPremium,"1,166₹",50,9
SaudiArabia,SaharaMallRiyadh,English,21:00,KidsPremium,"1,166₹",51,3
SaudiArabia,SaharaMallRiyadh,English,21:00,KidsLounger,"1,166₹",5,0
SaudiArabia,RiyadhFrontRiyadh,English,22:15,KidsPremium,"1,166₹",50,2
