Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Punjabi,08:30,StandardPremium,"1,041₹",50,20
Uae,CityCentreDeira,Punjabi,08:30,Standard,797₹,55,4
Uae,Burjuman,Punjabi,09:05,VipPremium,"1,367₹",50,16
Oman,CityCentreSuhar,Punjabi,10:25,Standard,652₹,35,0
Oman,CityCentreSuhar,Punjabi,10:25,StandardPremium,761₹,9,0
Uae,MegaplexCineplexGrandHyatt,Punjabi,10:30,Standard,797₹,36,0
Uae,MegaplexCineplexGrandHyatt,Punjabi,10:30,StandardPremium,"1,041₹",58,12
Uae,CityCentreDeira,Punjabi,11:00,StandardPremium,"1,041₹",50,14
Uae,CityCentreDeira,Punjabi,11:00,Standard,797₹,55,7
Uae,Burjuman,Punjabi,11:05,StandardPremium,"1,041₹",74,24
Uae,Burjuman,Punjabi,11:05,Standard,797₹,50,5
Bahrain,CityCentreBahrain,Punjabi,11:15,Standard,824₹,116,0
Uae,CityCentreSharjah,Punjabi,11:30,Standard,797₹,40,15
Uae,CityCentreSharjah,Punjabi,11:30,StandardVip,"1,041₹",26,15
Oman,Azaiba,Punjabi,11:40,Standard,588₹,102,0
Oman,CityCentreSuhar,Punjabi,13:05,Standard,652₹,35,0
Oman,CityCentreSuhar,Punjabi,13:05,StandardPremium,761₹,9,0
Oman,SuharPlaza,Punjabi,14:00,Standard,501₹,160,0
Bahrain,CityCentreBahrain,Punjabi,15:45,Standard,824₹,116,3
Uae,CityCentreDeira,Punjabi,16:10,StandardPremium,"1,041₹",50,15
Uae,CityCentreDeira,Punjabi,16:10,Standard,797₹,55,22
Uae,MegaplexCineplexGrandHyatt,Punjabi,16:30,Standard,797₹,36,0
Uae,MegaplexCineplexGrandHyatt,Punjabi,16:30,StandardPremium,"1,041₹",58,0
Uae,CityCentreSharjah,Punjabi,16:35,Standard,797₹,40,4
Uae,CityCentreSharjah,Punjabi,16:35,StandardVip,"1,041₹",26,1
Uae,Burjuman,Punjabi,16:45,StandardPremium,"1,041₹",74,15
Uae,Burjuman,Punjabi,16:45,Standard,797₹,50,21
Oman,Ruwi,Punjabi,16:45,StandardPremium,501₹,98,1
Oman,CityCentreSuhar,Punjabi,18:00,Standard,652₹,35,0
Oman,CityCentreSuhar,Punjabi,18:00,StandardPremium,761₹,9,0
Uae,Burjuman,Punjabi,19:00,VipPremium,"1,367₹",50,9
Uae,CityCentreSharjah,Punjabi,19:10,Standard,797₹,40,2
Uae,CityCentreSharjah,Punjabi,19:10,StandardVip,"1,041₹",26,5
Oman,Azaiba,Punjabi,19:30,Standard,588₹,102,0
Bahrain,CityCentreBahrain,Punjabi,20:15,Standard,824₹,116,0
